Resource,natural_gas_combined_cycle,solar_pv,onshore_wind,battery,Total
Zone,1,1,1,1,0
AnnualSum,1.1298327624392962e8,815430.1552197799,4.854782777373491e6,51007.08489414153,1.1870449626141703e8
t1,9873.798286059238,0.0,1288.2017139407633,0.0,11162.000000000002
t2,9285.175100784547,0.0,1270.8248992154508,0.0,10555.999999999998
t3,8796.951989472887,0.0,1308.0480105271133,0.0,10105.0
t4,8609.49902258998,0.0,1296.072556731468,0.0,9905.571579321448
t5,8746.582646880495,0.0,1096.4173531195045,0.0,9843.0
t6,9103.492235276966,0.0,913.5077647230333,0.0,10017.0
t7,9583.274558247575,0.0,806.7254417524273,0.0,10390.000000000002
t8,9847.777254675586,0.0,879.2227453244145,0.0,10727.0
t9,10595.992595290492,88.95,613.0574047095081,0.0,11298.000000000002
t10,11633.683229380622,214.5,10.816770619378342,0.0,11859.0
t11,11904.928265418508,287.4,3.671734581492221,0.0,12196.0
t12,11993.681692162609,324.2,3.1183078373917983,0.0,12321.000000000002
t13,12064.155031788074,310.40000000000003,6.444968211925964,0.0,12381.0
t14,11960.834562988393,298.0,11.165437011605887,0.0,12270.0
t15,11752.33409302981,250.64999999999998,146.01590697018838,0.0,12148.999999999998
t16,11761.265112055897,165.55,292.1848879441036,0.0,12219.0
t17,13172.398256415721,32.099999999999994,205.5017435842787,0.0,13410.0
t18,13718.020518063222,0.0,820.9794819367781,0.0,14539.0
t19,13084.271385574259,0.0,1369.728614425743,0.0,14454.000000000002
t20,12675.037866203349,0.0,1336.9621337966514,0.0,14012.0
t21,12113.613046107133,0.0,1380.3869538928668,0.0,13494.0
t22,11426.6239359652,0.0,1345.3760640347982,0.0,12772.0
t23,10646.985798905236,0.0,1230.014201094764,0.0,11877.0
t24,9910.334442320345,0.0,963.6655576796551,0.0,10874.0
t25,9261.315773208014,0.0,763.6842267919859,0.0,10025.0
t26,8605.82902258998,0.0,938.517750172804,0.0,9544.346772762783
t27,8603.359022589979,0.0,921.2862661997789,0.0,9524.645288789758
t28,8602.799022589981,0.0,1324.5792558245762,0.0,9927.378278414557
t29,8604.819022589978,0.0,1241.8121363627388,0.0,9846.631158952718
t30,8729.835787624459,0.0,1194.164212375541,0.0,9924.0
t31,9846.635932998985,0.0,849.3640670010155,0.0,10696.0
t32,10625.377901455273,0.0,703.6220985447279,0.0,11329.0
t33,11205.661776074618,80.0,819.3382239253839,0.0,12105.000000000002
t34,11653.87242664239,170.9,1074.2275733576093,0.0,12899.0
t35,11888.848402478243,247.6,1345.5515975217577,0.0,13482.0
t36,12010.046696695683,282.7,1428.2533033043167,0.0,13721.0
t37,11977.566137083699,285.65000000000003,1435.783862916301,0.0,13699.0
t38,11913.235138108083,270.7,1427.0648618919179,0.0,13611.000000000002
t39,11899.169332914571,233.85,1434.9806670854273,0.0,13567.999999999998
t40,12236.671924457092,159.64999999999998,1377.6780755429081,0.0,13774.0
t41,13623.642327031259,50.15,1392.207672968742,0.0,15066.0
t42,15219.602943617394,0.0,1154.397056382604,0.0,16373.999999999998
t43,15180.088643983294,0.0,1049.9113560167061,0.0,16230.0
t44,15051.152958632383,0.0,786.847041367617,0.0,15838.0
t45,14002.057013151481,0.0,1194.942986848518,0.0,15197.0
t46,12855.391493305267,0.0,1333.6085066947317,0.0,14189.0
t47,11744.925147664413,0.0,1195.0748523355876,0.0,12940.0
t48,10648.126243804894,0.0,1159.8737561951057,0.0,11808.0
t49,9842.703923168268,0.0,1214.2960768317305,0.0,11056.999999999998
t50,9728.423631088503,0.0,953.5763689114995,0.0,10682.000000000002
t51,9799.317711812992,0.0,702.6822881870091,0.0,10502.0
t52,9661.084032553983,0.0,862.9159674460162,0.0,10524.0
t53,10000.648967832642,0.0,900.3510321673582,0.0,10901.0
t54,11009.950511373201,0.0,1011.0494886268,0.0,12021.000000000002
t55,13184.415091061184,0.0,818.5849089388149,0.0,14003.0
t56,14587.445571599184,0.0,525.5544284008143,0.0,15112.999999999998
