Costs,TotalCosts_p1,TotalCosts_p2,TotalCosts_p3
cFix,3.1884114536505203e10,2.3518817682315575e10,2.2450334871161537e10
cVar,1.756241754324088e10,6.19535634814986e9,2.0564167993944867e9
cNSE,0.0,0.0,0.0
cStart,4.681089202894975e8,8.497335415377934e8,2.0406472518171448e8
cUnmetRsv,1.883144182514262e8,2.0217827803150922e7,5.2419453679826535e7
cNetworkExp,0.0,0.0,0.0
cUnmetPolicyPenalty,0.0,0.0,0.0
