Iteration_Number,Seconds,Upper_Bound,Lower_Bound,Relative_Gap
1,71.20914387702942,65510.16991980601,62537.85568124811,0.047528240394228004
2,79.06895208358765,65510.16991980601,63572.18977869145,0.030484715846049795
3,79.23985600471497,65418.80974976682,65209.38808472521,0.0032115263030764165
