Resource,Zone,StartCap_p1,EndCap_p1,EndCap_p2,EndCap_p3
natural_gas_combined_cycle,1,10000.0,18203.157535723287,15700.711535327127,12091.259678021705
solar_pv,1,500.0,4059.5376871786507,12862.531997353888,22725.303297873932
onshore_wind,1,1000.0,9071.655544123863,17164.808536336815,26828.102532056364
battery,1,0.0,1310.9707300180985,3270.491034387854,31447.711715277597
Total,n/a,11500.0,32645.3214970439,48998.54310340568,93092.37722322959
