Costs,TotalCosts_p1,TotalCosts_p2,TotalCosts_p3
cFix,3.188390616866239e10,2.351892221631939e10,2.2450270457021328e10
cVar,1.7557012059343357e10,6.183892788093647e9,2.0434032909981303e9
cNSE,0.0,0.0,0.0
cStart,4.6818998401251966e8,8.497335415377905e8,2.0406472518170968e8
cUnmetRsv,1.8841327755526942e8,2.0217827803151105e7,5.241945367982409e7
cNetworkExp,0.0,0.0,0.0
cUnmetPolicyPenalty,0.0,0.0,0.0
