Period_Index,Rep_Period,Rep_Period_Index
1,1,1
2,1,1
3,1,1
4,1,1
5,7,2
6,7,2
7,7,2
8,7,2
9,7,2
10,15,3
11,7,2
12,15,3
13,15,3
14,15,3
15,15,3
16,15,3
17,15,3
18,24,4
19,24,4
20,24,4
21,24,4
22,24,4
23,24,4
24,24,4
25,28,5
26,28,5
27,28,5
28,28,5
29,29,6
30,28,5
31,28,5
32,28,5
33,28,5
34,28,5
35,45,8
36,28,5
37,43,7
38,24,4
39,24,4
40,43,7
41,45,8
42,43,7
43,43,7
44,43,7
45,45,8
46,24,4
47,24,4
48,48,9
49,50,10
50,50,10
51,51,11
52,50,10
