Resource,NENGREST_biomass_1,NENGREST_conventional_hydroelectric_1,NENGREST_hydroelectric_pumped_storage_1,NENGREST_natural_gas_fired_combined_cycle_1,NENGREST_natural_gas_fired_combined_cycle_2,NENGREST_natural_gas_fired_combustion_turbine_1,NENGREST_natural_gas_fired_combustion_turbine_2,NENGREST_natural_gas_steam_turbine_1,NENGREST_nuclear_1,NENGREST_offshore_wind_turbine_1,NENGREST_onshore_wind_turbine_1,NENGREST_small_hydroelectric_1,NENGREST_solar_photovoltaic_1,NENG_CT_biomass_1,NENG_CT_conventional_hydroelectric_1,NENG_CT_hydroelectric_pumped_storage_1,NENG_CT_natural_gas_fired_combined_cycle_1,NENG_CT_natural_gas_fired_combined_cycle_2,NENG_CT_natural_gas_fired_combustion_turbine_1,NENG_CT_natural_gas_fired_combustion_turbine_2,NENG_CT_nuclear_1,NENG_CT_onshore_wind_turbine_1,NENG_CT_small_hydroelectric_1,NENG_CT_solar_photovoltaic_1,NENG_ME_biomass_1,NENG_ME_conventional_hydroelectric_1,NENG_ME_natural_gas_fired_combined_cycle_1,NENG_ME_natural_gas_fired_combined_cycle_2,NENG_ME_natural_gas_fired_combustion_turbine_1,NENG_ME_onshore_wind_turbine_1,NENG_ME_small_hydroelectric_1,NENG_ME_solar_photovoltaic_1,NENGREST_naturalgas_ccccsavgcf_mid_0,NENGREST_naturalgas_ccavgcf_mid_0,NENGREST_naturalgas_ctavgcf_mid_0,NENGREST_battery_mid_0,NENGREST_naturalgas_ccs100_mid_0,NENGREST_landbasedwind_ltrg1_mid_130_1,NENGREST_utilitypv_losangeles_mid_80_0_2_1,NENGREST_offshorewind_otrg3_mid_fixed_1_176_77_1,NENG_CT_naturalgas_ccccsavgcf_mid_0,NENG_CT_naturalgas_ccavgcf_mid_0,NENG_CT_naturalgas_ctavgcf_mid_0,NENG_CT_battery_mid_0,NENG_CT_naturalgas_ccs100_mid_0,NENG_CT_landbasedwind_ltrg1_mid_110_1,NENG_CT_utilitypv_losangeles_mid_80_0_2_1,NENG_CT_offshorewind_otrg3_mid_fixed_1_176_77_1,NENG_ME_naturalgas_ccccsavgcf_mid_0,NENG_ME_naturalgas_ccavgcf_mid_0,NENG_ME_naturalgas_ctavgcf_mid_0,NENG_ME_battery_mid_0,NENG_ME_naturalgas_ccs100_mid_0,NENG_ME_landbasedwind_ltrg1_mid_110_1,NENG_ME_utilitypv_losangeles_mid_100_0_2_1,NENGREST_heat_load_shifting_1,NENG_CT_heat_load_shifting_1,NENG_ME_heat_load_shifting_1
t1192,0.0,483.59155846360625,196757.89073035336,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,47.188074864187875,3415.9064339926003,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,303.9126821821068,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,720.8374969163173,0.0,0.0,0.0,0.0,0.0,0.0,0.0,726.76058853355,0.0,0.0,0.0,0.0,0.0,0.0,0.0,716.573080542185,0.0,0.0,0.0,65.16420144832071,54.3571572638034,21.888281596221507
t1193,0.0,484.1882427293244,198288.98045336016,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,47.21515443026362,3442.751558998949,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,327.809996058975,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1058.0562400218275,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1065.6295707208112,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1052.1503460688634,0.0,0.0,0.0,3.5415152051397332e-6,3.5415834786061246e-6,3.541681986927177e-6
t1194,0.0,484.7849269343443,198587.7647747074,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,47.24223393574265,3449.7203755003834,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,327.809998253293,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1058.0562362321818,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1065.6295669311648,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1052.1503422792346,0.0,0.0,0.0,7.527296778425383e-6,7.526970944874433e-6,7.526729777779889e-6
t1195,0.0,485.3816111044957,196554.62210986417,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,47.2693134064296,3419.8576756768134,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,315.1499750098014,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1058.0562335629975,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1065.629564261967,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1052.150339610095,0.0,0.0,0.0,92.91832071591108,22.578434600045366,8.447044610448534
t1196,0.0,485.97829522712385,194513.0493804682,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,47.29639282967363,3384.0620825344954,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,275.2817240414594,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,645.1019045845622,0.0,0.0,0.0,0.0,0.0,0.0,0.0,650.8514214398105,0.0,0.0,0.0,0.0,0.0,0.0,0.0,643.1477339800432,0.0,0.0,0.0,205.40830778255895,54.70842173056159,23.777031756606217
t1197,0.0,447.0678141021211,192471.47663391646,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,46.366610222707294,3348.2664722413624,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,208.20524445480098,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,191.30115971265798,0.0,0.0,0.0,0.0,0.0,0.0,0.0,195.06608858658083,0.0,0.0,0.0,0.0,0.0,0.0,0.0,192.06514965490075,0.0,0.0,0.0,318.89830666037017,87.1184206826537,39.24703068902388
t1198,0.0,447.6644982247626,190429.9039045237,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,46.3936896459584,3312.470879101973,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,168.33699348692144,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.176105688108897e-5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.179815289585252e-5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.355152251929517e-5,0.0,0.0,0.0,425.37829380805596,117.52840779348587,53.767017818687414
t1199,0.0,448.26118239496105,188466.10586834294,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,46.42076911667351,3291.543428954411,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,155.6769693923874,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00012149708632883695,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00012202408224940029,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00010834770518914495,0.0,0.0,0.0,335.4430727822943,82.77968635329633,40.04229907093725
t1200,0.0,448.8578665651618,186568.08378076917,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,46.44784858739,3271.573870451122,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,163.02788911800934,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00014311427606829354,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00014383509082536574,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0001344277248327492,0.0,0.0,0.0,248.419095846069,61.34935118958804,29.814321786576848
t1201,0.0,449.4545507353636,185067.1807734748,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,46.47492805810718,3252.6148915320564,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,178.96971281569242,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00015549439176133997,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.000156391353951354,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00014926016271283197,0.0,0.0,0.0,172.4556453035754,47.860130547523006,23.920431494057325
