Segment,1,2,3,4,Total
t205,1.0950754007190917e-8,1.2167504193922243e-8,1.9910460768567387e-8,5.4753718694290664e-8,9.778243766397121e-8
t206,1.0950754007039015e-8,1.216750418939223e-8,1.991046075089632e-8,5.475371779466135e-8,9.778243674198891e-8
t207,1.095075400684335e-8,1.21675041854387e-8,1.9910460735574028e-8,5.475371704262082e-8,9.778243597047689e-8
t208,1.095075400802267e-8,1.2167504186077147e-8,1.9910460735721038e-8,5.4753716851069255e-8,9.778243578089011e-8
t209,1.095075402077657e-8,1.2167504209725514e-8,1.9910460807133247e-8,5.475371864162277e-8,9.77824376792581e-8
t210,1.1102943907374236e-8,1.2355683561062577e-8,2.0419354457753518e-8,5.878242175254524e-8,1.0266040367873557e-7
t211,1.1175487295242003e-8,1.2445586821909645e-8,2.0666068108485356e-8,6.087449219831979e-8,1.0516163442395679e-7
t212,1.1154634798654806e-8,1.2419730671630167e-8,2.0594872481351707e-8,6.02608601842301e-8,1.0443009813586677e-7
t213,1.1154631321918304e-8,1.2419726350624837e-8,2.059486058232937e-8,6.026075655458082e-8,1.0442997480945333e-7
t214,1.1154631036693723e-8,1.2419725979776716e-8,2.0594859541206932e-8,6.02607446638301e-8,1.0442996122150746e-7
t215,1.1154630794273575e-8,1.2419725656096077e-8,2.059485862131247e-8,6.026073225079986e-8,1.0442994732248198e-7
t216,1.1154629956639402e-8,1.2419724593923488e-8,2.0594855669379334e-8,6.02607020739512e-8,1.0442991229389342e-7
t217,1.1154630883421295e-8,1.2419725724962491e-8,2.0594858755487917e-8,6.02607246032611e-8,1.044299399671328e-7
t218,1.1154629226762263e-8,1.2419723661470752e-8,2.0594853068418967e-8,6.026067399171677e-8,1.0442987994836875e-7
t219,1.1154629911807332e-8,1.2419724506882473e-8,2.0594855387738877e-8,6.026069295066709e-8,1.0442990275709577e-7
t220,1.1154630672280873e-8,1.2419725451001359e-8,2.059485798556513e-8,6.026071541090123e-8,1.0442992951974858e-7
t221,1.1154631072383514e-8,1.241972595725232e-8,2.059485939114953e-8,6.026072917112827e-8,1.0442994559191364e-7
t222,1.1158033936821583e-8,1.2423944632591657e-8,2.0606462339350123e-8,6.036018088491693e-8,1.045486217936803e-7
t223,1.1750018313678553e-8,1.3162317878181223e-8,2.272046131251601e-8,8.297427182237507e-8,1.3060706932675086e-7
t224,1.1175778363229998e-8,1.2445947837469974e-8,2.0667064399325583e-8,6.088316819007789e-8,1.0517195879010344e-7
t225,1.1095176553434113e-8,1.2346065307539832e-8,2.0393098669262014e-8,5.8565359505765835e-8,1.023997000360018e-7
t226,1.0950754078317251e-8,1.2167504293635685e-8,1.9910461043194524e-8,5.4753722334629166e-8,9.778244174977663e-8
t227,1.0950754045049088e-8,1.216750425100472e-8,1.9910460928802992e-8,5.4753721406745184e-8,9.778244063160198e-8
t228,1.0950754033162171e-8,1.2167504233524974e-8,1.9910460879197318e-8,5.4753720635304845e-8,9.778243978118932e-8
t229,1.0950754023683715e-8,1.2167504217860294e-8,1.991046083301317e-8,5.475371965789734e-8,9.778243873245453e-8
t230,1.0950754058112136e-8,1.2167504259514215e-8,1.9910460941895034e-8,5.475372013228719e-8,9.778243939180858e-8
