Resource,NENGREST_biomass_1,NENGREST_conventional_hydroelectric_1,NENGREST_hydroelectric_pumped_storage_1,NENGREST_natural_gas_fired_combined_cycle_1,NENGREST_natural_gas_fired_combined_cycle_2,NENGREST_natural_gas_fired_combustion_turbine_1,NENGREST_natural_gas_fired_combustion_turbine_2,NENGREST_natural_gas_steam_turbine_1,NENGREST_nuclear_1,NENGREST_offshore_wind_turbine_1,NENGREST_onshore_wind_turbine_1,NENGREST_small_hydroelectric_1,NENGREST_solar_photovoltaic_1,NENG_CT_biomass_1,NENG_CT_conventional_hydroelectric_1,NENG_CT_hydroelectric_pumped_storage_1,NENG_CT_natural_gas_fired_combined_cycle_1,NENG_CT_natural_gas_fired_combined_cycle_2,NENG_CT_natural_gas_fired_combustion_turbine_1,NENG_CT_natural_gas_fired_combustion_turbine_2,NENG_CT_nuclear_1,NENG_CT_onshore_wind_turbine_1,NENG_CT_small_hydroelectric_1,NENG_CT_solar_photovoltaic_1,NENG_ME_biomass_1,NENG_ME_conventional_hydroelectric_1,NENG_ME_natural_gas_fired_combined_cycle_1,NENG_ME_natural_gas_fired_combined_cycle_2,NENG_ME_natural_gas_fired_combustion_turbine_1,NENG_ME_onshore_wind_turbine_1,NENG_ME_small_hydroelectric_1,NENG_ME_solar_photovoltaic_1,NENGREST_naturalgas_ccccsavgcf_mid_0,NENGREST_naturalgas_ccavgcf_mid_0,NENGREST_naturalgas_ctavgcf_mid_0,NENGREST_battery_mid_0,NENGREST_naturalgas_ccs100_mid_0,NENGREST_landbasedwind_ltrg1_mid_130_1,NENGREST_utilitypv_losangeles_mid_80_0_2_1,NENGREST_offshorewind_otrg3_mid_fixed_1_176_77_1,NENG_CT_naturalgas_ccccsavgcf_mid_0,NENG_CT_naturalgas_ccavgcf_mid_0,NENG_CT_naturalgas_ctavgcf_mid_0,NENG_CT_battery_mid_0,NENG_CT_naturalgas_ccs100_mid_0,NENG_CT_landbasedwind_ltrg1_mid_110_1,NENG_CT_utilitypv_losangeles_mid_80_0_2_1,NENG_CT_offshorewind_otrg3_mid_fixed_1_176_77_1,NENG_ME_naturalgas_ccccsavgcf_mid_0,NENG_ME_naturalgas_ccavgcf_mid_0,NENG_ME_naturalgas_ctavgcf_mid_0,NENG_ME_battery_mid_0,NENG_ME_naturalgas_ccs100_mid_0,NENG_ME_landbasedwind_ltrg1_mid_110_1,NENG_ME_utilitypv_losangeles_mid_100_0_2_1,NENGREST_heat_load_shifting_1,NENG_CT_heat_load_shifting_1,NENG_ME_heat_load_shifting_1
t812,33.04112140687846,0.0,0.0,2.052458959034516e-8,2.3029105099124905e-8,9.150097724685632e-8,7.9979534241823735,0.9999993821800802,6.88151041775055e-9,0.0,0.0,0.0,0.0,7.990615751468169,0.0,0.0,4.7726290176382555,2.7299838880944644e-7,7.999998734524753,3.3117090061402536e-7,1.8269331585094486,0.0,0.0,0.0,9.979999888334195,0.0,2.5341942637335102e-8,4.7508102830999636e-8,2.9999998265687853,0.0,0.0,0.0,0.0,1.1308507201892091e-7,6.865366027344236e-8,0.0,0.0,0.0,0.0,0.0,0.0,1.7507167876233716,1.1216581724595146e-7,0.0,0.0,0.0,0.0,0.0,0.0,1.7407236319649386,1.1230403611254787e-7,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t813,33.04112145509244,0.0,0.0,2.2816625297470286e-8,2.5674739876538678e-8,9.578210997923067e-8,7.997953542202272,0.9999993822401265,6.898743385317499e-9,0.0,0.0,0.0,0.0,7.990615797608986,0.0,0.0,4.772629025168097,2.986896725346708e-7,7.99999873536733,3.465348912210454e-7,1.8269331585431419,0.0,0.0,0.0,9.979999948652772,0.0,2.7434362409537514e-8,5.086347542667954e-8,2.999999841709527,0.0,0.0,0.0,0.0,1.1368487169806521e-7,6.960255045602168e-8,0.0,0.0,0.0,0.0,0.0,0.0,1.7507167883387207,1.1335343541650537e-7,0.0,0.0,0.0,0.0,0.0,0.0,1.7407236326802893,1.1349166293604817e-7,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t814,33.04112145509241,0.0,0.0,2.3088370818565556e-8,2.6171072117674234e-8,9.746998630927161e-8,7.997953556665943,0.9999993822774057,6.909205516507126e-9,0.0,0.0,0.0,0.0,7.990615797608964,0.0,0.0,4.772629025481186,3.051550864928035e-7,7.999998735613648,3.5032835404556725e-7,1.826933158562324,0.0,0.0,0.0,9.979999948652729,0.0,2.8141175603452596e-8,5.109851487054893e-8,2.9999998436144346,0.0,0.0,0.0,0.0,1.1384602330780972e-7,7.007012421648197e-8,0.0,0.0,0.0,0.0,0.0,0.0,1.7507167885136659,1.1387704575702908e-7,0.0,0.0,0.0,0.0,0.0,0.0,1.7407236328552347,1.1401527729133147e-7,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t815,33.041121455092444,0.0,0.0,2.3123211199009804e-8,2.6264688966567422e-8,9.797261838468212e-8,7.997953559541836,0.9999993822883739,6.914020123026168e-9,0.0,0.0,0.0,0.0,7.990615797608996,0.0,0.0,4.772629025497385,3.066059180629528e-7,7.999998735320402,3.511849196938022e-7,1.8269331585711248,0.0,0.0,0.0,9.979999948652784,0.0,2.8340881799149368e-8,5.111367482918017e-8,2.9999998438920623,0.0,0.0,0.0,0.0,1.138655396789815e-7,7.022132418481307e-8,0.0,0.0,0.0,0.0,0.0,0.0,1.750716788541164,1.1401678607753791e-7,0.0,0.0,0.0,0.0,0.0,0.0,1.7407236328827331,1.14155020494281e-7,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t816,33.041121455092046,0.0,0.0,2.2964927604707555e-8,2.6042563456614018e-8,9.754662575936446e-8,7.9979535545212075,0.9999993822764419,6.913734399512198e-9,0.0,0.0,0.0,0.0,7.990615797608619,0.0,0.0,4.772629025249093,3.0409930569008144e-7,7.999998734419561,3.498900220644896e-7,1.8269331585710866,0.0,0.0,0.0,9.979999948652281,0.0,2.8119155586702557e-8,5.093373462014667e-8,2.9999998429299155,0.0,0.0,0.0,0.0,1.1376116630478494e-7,7.009802570495189e-8,0.0,0.0,0.0,0.0,0.0,0.0,1.7507167884485044,1.1382728484975414e-7,0.0,0.0,0.0,0.0,0.0,0.0,1.7407236327900737,1.1396552222032524e-7,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t817,33.041121396310054,0.0,0.0,2.2254709378513126e-8,2.522615303984919e-8,9.597899826607476e-8,7.997953534136097,0.9999993822614309,6.90837401102336e-9,0.0,0.0,0.0,0.0,7.990615740770811,0.0,0.0,4.772629023037254,2.9564381230104867e-7,7.9999987326559925,3.4516375308665005e-7,1.8269331585622233,0.0,0.0,0.0,9.979999874747348,0.0,2.7393451449402125e-8,4.971162961263256e-8,2.9999998387955484,0.0,0.0,0.0,0.0,1.1340152599323794e-7,6.96667125590919e-8,0.0,0.0,0.0,0.0,0.0,0.0,1.7507167881188495,1.1323294335926725e-7,0.0,0.0,0.0,0.0,0.0,0.0,1.7407236324604194,1.1337118505850335e-7,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t818,33.04112139630979,0.0,0.0,2.141193328781392e-8,2.4271865963921142e-8,9.427976333770851e-8,7.997953510587122,0.9999993822923953,6.902103442408117e-9,0.0,0.0,0.0,0.0,7.9906157407705685,0.0,0.0,4.772629020825356,2.8587861696166623e-7,7.999998731020106,3.4002481412806015e-7,1.8269331585518305,0.0,0.0,0.0,9.97999987474701,0.0,2.6556016412555045e-8,4.8302881612757674e-8,2.9999998334591575,0.0,0.0,0.0,0.0,1.1306461730813145e-7,6.922483264109519e-8,0.0,0.0,0.0,0.0,0.0,0.0,1.7507167877924263,1.1263762360613886e-7,0.0,0.0,0.0,0.0,0.0,0.0,1.7407236321339967,1.12775869511442e-7,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t819,33.04112139630985,0.0,0.0,2.0492867646610126e-8,2.3255856350849885e-8,9.24282645085096e-8,7.997953483091986,0.999999382321506,6.894934416174148e-9,0.0,0.0,0.0,0.0,7.990615740770606,0.0,0.0,4.772629018613421,2.756471890710154e-7,7.999998729503382,3.344124171808124e-7,1.826933158539849,0.0,0.0,0.0,9.979999874747115,0.0,2.5687065903106847e-8,4.676962872491468e-8,2.9999998261629344,0.0,0.0,0.0,0.0,1.1274775561604653e-7,6.877171062804987e-8,0.0,0.0,0.0,0.0,0.0,0.0,1.7507167874642542,1.1204105549711549e-7,0.0,0.0,0.0,0.0,0.0,0.0,1.740723631805825,1.121793054797988e-7,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t820,33.04112139630971,0.0,0.0,1.9411666249398083e-8,2.2084080613591918e-8,9.039779508560896e-8,7.997953450513679,0.9999993823463761,6.88683024511375e-9,0.0,0.0,0.0,0.0,7.990615740770489,0.0,0.0,4.772629016401457,2.6406436715719005e-7,7.999998728098354,3.282475441859577e-7,1.8269331585262065,0.0,0.0,0.0,9.97999987474694,0.0,2.4697898142861428e-8,4.501171384446475e-8,2.9999998150506615,0.0,0.0,0.0,0.0,1.1244581641020347e-7,6.830652079194336e-8,0.0,0.0,0.0,0.0,0.0,0.0,1.750716787129863,1.1144282843852193e-7,0.0,0.0,0.0,0.0,0.0,0.0,1.740723631471434,1.1158108236664666e-7,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t821,33.04112139630967,0.0,0.0,1.8176150986689488e-8,2.0792313036884284e-8,8.815312169138397e-8,7.997953411110875,0.9999993824182147,6.877759866063683e-9,0.0,0.0,0.0,0.0,7.990615740770448,0.0,0.0,4.772629014189492,2.5162900269671024e-7,7.99999872679846,3.2142601773065003e-7,1.8269331585108168,0.0,0.0,0.0,9.979999874746884,0.0,2.3647354803771286e-8,4.3033509303775204e-8,2.999999793037177,0.0,0.0,0.0,0.0,1.121580945949522e-7,6.78283773282394e-8,0.0,0.0,0.0,0.0,0.0,0.0,1.7507167867848854,1.108425246463627e-7,0.0,0.0,0.0,0.0,0.0,0.0,1.7407236311264567,1.1098078238408226e-7,0.0,0.0,0.0,0.0,0.0,0.0,0.0
