Resource,NENGREST_biomass_1,NENGREST_conventional_hydroelectric_1,NENGREST_hydroelectric_pumped_storage_1,NENGREST_natural_gas_fired_combined_cycle_1,NENGREST_natural_gas_fired_combined_cycle_2,NENGREST_natural_gas_fired_combustion_turbine_1,NENGREST_natural_gas_fired_combustion_turbine_2,NENGREST_natural_gas_steam_turbine_1,NENGREST_nuclear_1,NENGREST_offshore_wind_turbine_1,NENGREST_onshore_wind_turbine_1,NENGREST_small_hydroelectric_1,NENGREST_solar_photovoltaic_1,NENG_CT_biomass_1,NENG_CT_conventional_hydroelectric_1,NENG_CT_hydroelectric_pumped_storage_1,NENG_CT_natural_gas_fired_combined_cycle_1,NENG_CT_natural_gas_fired_combined_cycle_2,NENG_CT_natural_gas_fired_combustion_turbine_1,NENG_CT_natural_gas_fired_combustion_turbine_2,NENG_CT_nuclear_1,NENG_CT_onshore_wind_turbine_1,NENG_CT_small_hydroelectric_1,NENG_CT_solar_photovoltaic_1,NENG_ME_biomass_1,NENG_ME_conventional_hydroelectric_1,NENG_ME_natural_gas_fired_combined_cycle_1,NENG_ME_natural_gas_fired_combined_cycle_2,NENG_ME_natural_gas_fired_combustion_turbine_1,NENG_ME_onshore_wind_turbine_1,NENG_ME_small_hydroelectric_1,NENG_ME_solar_photovoltaic_1,NENGREST_naturalgas_ccccsavgcf_mid_0,NENGREST_naturalgas_ccavgcf_mid_0,NENGREST_naturalgas_ctavgcf_mid_0,NENGREST_battery_mid_0,NENGREST_naturalgas_ccs100_mid_0,NENGREST_landbasedwind_ltrg1_mid_130_1,NENGREST_utilitypv_losangeles_mid_80_0_2_1,NENGREST_offshorewind_otrg3_mid_fixed_1_176_77_1,NENG_CT_naturalgas_ccccsavgcf_mid_0,NENG_CT_naturalgas_ccavgcf_mid_0,NENG_CT_naturalgas_ctavgcf_mid_0,NENG_CT_battery_mid_0,NENG_CT_naturalgas_ccs100_mid_0,NENG_CT_landbasedwind_ltrg1_mid_110_1,NENG_CT_utilitypv_losangeles_mid_80_0_2_1,NENG_CT_offshorewind_otrg3_mid_fixed_1_176_77_1,NENG_ME_naturalgas_ccccsavgcf_mid_0,NENG_ME_naturalgas_ccavgcf_mid_0,NENG_ME_naturalgas_ctavgcf_mid_0,NENG_ME_battery_mid_0,NENG_ME_naturalgas_ccs100_mid_0,NENG_ME_landbasedwind_ltrg1_mid_110_1,NENG_ME_utilitypv_losangeles_mid_100_0_2_1,NENGREST_heat_load_shifting_1,NENG_CT_heat_load_shifting_1,NENG_ME_heat_load_shifting_1,Total
t1573,8.24735768488128e-6,0.0,0.0,3.738222421309506e-10,6.330681795705983e-10,2.4478381256674805e-9,1.4197056601617465e-8,1.6004684643267782e-7,1.535752884788115e-11,0.0,0.0,0.0,0.0,1.205541308802427e-5,0.0,0.0,2.877084028555564e-10,7.7538271108806e-9,3.5768630150520502e-9,4.912773547757998e-9,2.0577781104410598e-11,0.0,0.0,0.0,1.3701723787763088e-5,0.0,8.83587163987567e-10,2.556518282471704e-10,2.2543809651400966e-9,0.0,0.0,0.0,0.0,1.8787380897333538e-10,1.0426784923963195e-9,0.0,0.0,0.0,0.0,0.0,0.0,1.9046843519495639e-10,1.0877281834805126e-9,0.0,0.0,0.0,0.0,0.0,0.0,1.904683744996277e-10,1.087669903324095e-9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.420594080679204e-5
t1574,7.732665821460378e-6,0.0,0.0,2.5921658847074433e-10,4.606659219178809e-10,1.9847561772920543e-9,1.1047480264981397e-8,1.6003474979732774e-7,1.4337336162109465e-11,0.0,0.0,0.0,0.0,1.1432288239641465e-5,0.0,0.0,2.2416941772669397e-10,6.0321689153711846e-9,3.050025766163839e-9,3.777101323597548e-9,1.8994004336912972e-11,0.0,0.0,0.0,1.2851009013531572e-5,0.0,7.197413197755947e-10,1.9283023357693443e-10,1.644628749316292e-9,0.0,0.0,0.0,0.0,1.5862324688725452e-10,8.903805491486679e-10,0.0,0.0,0.0,0.0,0.0,0.0,1.5693742329438417e-10,9.200390643989068e-10,0.0,0.0,0.0,0.0,0.0,0.0,1.5693747722578188e-10,9.199974899368509e-10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.2208626855700323e-5
t1575,7.764259615962328e-6,0.0,0.0,1.9833782154297918e-10,3.5854140979005356e-10,1.6680929765439954e-9,9.025936196257035e-9,1.6004167638271547e-7,1.3438660221056735e-11,0.0,0.0,0.0,0.0,1.160345740716252e-5,0.0,0.0,1.8364445355170047e-10,4.853328992097466e-9,2.658459238589844e-9,3.0678660298147537e-9,1.7627578621181197e-11,0.0,0.0,0.0,1.2967828833898959e-5,0.0,5.908970185026729e-10,1.5480469753156362e-10,1.2927908440749943e-9,0.0,0.0,0.0,0.0,1.3705728575672552e-10,7.768779581379447e-10,0.0,0.0,0.0,0.0,0.0,0.0,1.3343740953026383e-10,7.971394181046588e-10,0.0,0.0,0.0,0.0,0.0,0.0,1.3343735651719318e-10,7.971082938251131e-10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.2522446357045534e-5
t1576,2.808827677177734e-6,0.0,0.0,1.6065232262456597e-10,2.955441335840651e-10,1.4367759075927297e-9,7.58843485438713e-9,1.6004563511896946e-7,1.2658634938188213e-11,0.0,0.0,0.0,0.0,3.213519884617328e-6,0.0,0.0,1.5548149771692188e-10,4.105765525119735e-9,2.355994070285346e-9,2.5827738142123527e-9,1.6469061530860067e-11,0.0,0.0,0.0,4.1913244323155356e-6,0.0,5.095006486275286e-10,1.2929373140970063e-10,1.0580613685385535e-9,0.0,0.0,0.0,0.0,1.206501299258184e-10,6.889410781997767e-10,0.0,0.0,0.0,0.0,0.0,0.0,1.1594143388107599e-10,7.031646783703034e-10,0.0,0.0,0.0,0.0,0.0,0.0,1.1594131265786838e-10,7.031405160397145e-10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.039657281394921e-5
t1577,14.464506592684883,0.0,0.0,1.534726285476852e-10,2.8479674679018156e-10,1.399582693290276e-9,7.240829930807828e-9,1.6004584688989858e-7,1.2476600084176898e-11,0.0,0.0,0.0,0.0,3.6489754944269883,0.0,0.0,1.4635982901392928e-10,3.966915974575957e-9,2.2445385195227724e-9,2.497900794811532e-9,1.6188936803038727e-11,0.0,0.0,0.0,4.470198277872001,0.0,4.942076450261806e-10,1.2278189779774344e-10,1.0289213414302809e-9,0.0,0.0,0.0,0.0,1.1230927719335635e-10,6.688741404896212e-10,0.0,0.0,0.0,0.0,0.0,0.0,1.0705099098737124e-10,6.808715246203539e-10,0.0,0.0,0.0,0.0,0.0,0.0,1.0705089915327975e-10,6.808489087953752e-10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.583680546995698
t1578,14.464095756418816,0.0,0.0,1.5350622022021402e-10,2.879278617911509e-10,1.4108791646910868e-9,7.277817966368172e-9,1.600482701266249e-7,1.2608837230148033e-11,0.0,0.0,0.0,0.0,3.6487509418087067,0.0,0.0,1.4565739689109333e-10,4.018415429068633e-9,2.185656047767063e-9,2.5165504218211107e-9,1.64006045432676e-11,0.0,0.0,0.0,4.4699549714234905,0.0,5.035981352724978e-10,1.22597177925133e-10,1.04294350456166e-9,0.0,0.0,0.0,0.0,1.1082186080438205e-10,6.671167581488389e-10,0.0,0.0,0.0,0.0,0.0,0.0,1.06092393692232e-10,6.778308374990568e-10,0.0,0.0,0.0,0.0,0.0,0.0,1.0609230390430294e-10,6.778084670834292e-10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.582801851739603
t1579,14.463941373958155,0.0,0.0,1.7633299065016666e-10,3.207793922023469e-10,1.5027580822785455e-9,7.892823482463167e-9,1.6005681784251547e-7,1.3104616059701763e-11,0.0,0.0,0.0,0.0,3.648712815979069,0.0,0.0,1.6231138654997263e-10,4.33092205924917e-9,2.185667853319737e-9,2.8382812197349766e-9,1.7136139874443806e-11,0.0,0.0,0.0,4.469908636899268,0.0,5.353925823848087e-10,1.3872202561822426e-10,1.127450433615367e-9,0.0,0.0,0.0,0.0,1.206575037710847e-10,6.950407598805223e-10,0.0,0.0,0.0,0.0,0.0,0.0,1.1512424589365904e-10,7.257568681213131e-10,0.0,0.0,0.0,0.0,0.0,0.0,1.1512417796193048e-10,7.257311948870994e-10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.582563010632427
t1580,14.464201466586305,0.0,0.0,1.1783750213287846e-9,1.4336942744955203e-9,3.742680433334884e-9,1.9332812307626115e-8,1.6004779934288454e-7,1.5876298110244606e-11,0.0,0.0,0.0,0.0,3.648893904224946,0.0,0.0,5.554953250379466e-10,1.4981622850096503e-8,4.016782137118832,1.0341981568158149e-8,2.1413163323355775e-11,0.0,0.0,0.0,4.468599590449468,0.0,1.4654218969232778e-9,6.360664714108145e-10,2.6740263169019314e-9,0.0,0.0,0.0,0.0,2.9722862478832116e-10,1.8374808197385316e-9,0.0,0.0,0.0,0.0,0.0,0.0,2.6446354028835287e-10,2.2818721418371625e-9,0.0,0.0,0.0,0.0,0.0,0.0,2.644634147171324e-10,2.2816193441378227e-9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26.598477322033947
t1581,14.463779901444187,0.0,0.0,1.7740860624634217e-7,2.8025985453682855e-9,4.429103229885581e-9,2.415715964339407e-8,1.6006691138320842e-7,1.6636983031430556e-11,0.0,0.0,0.0,0.0,3.648565222015636,0.0,0.0,9.178738448115786e-10,2.0014694145546806e-8,1.7270840344213683,1.934276666312648e-8,2.2632378291746557e-11,0.0,0.0,0.0,4.469710659397848,0.0,1.768848584752003e-9,1.619428293365668e-9,3.255210758048847e-9,0.0,0.0,0.0,0.0,3.811328401488196e-10,2.0655811061298903e-9,0.0,0.0,0.0,0.0,0.0,0.0,3.2894871447239195e-10,2.9328049721929415e-9,0.0,0.0,0.0,0.0,0.0,0.0,3.2894855209305237e-10,2.9323906130042783e-9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.30914024207132
t1582,14.463597684749402,0.0,0.0,2.674630236745486e-7,3.0470776893691292e-9,4.473867342773851e-9,2.3133232834968912e-8,1.600595415262893e-7,1.6829061631212287e-11,0.0,0.0,0.0,0.0,3.648416863088326,0.0,0.0,8.996068050779307e-10,2.0775852058711284e-8,1.0069261007592323e-7,2.0518817630777847e-8,2.2941889448614496e-11,0.0,0.0,0.0,4.469539883321343,0.0,1.8082738382308074e-9,1.6192535623016314e-9,3.1077450463222175e-9,0.0,0.0,0.0,0.0,3.6925997827716997e-10,2.050387681819538e-9,0.0,0.0,0.0,0.0,0.0,0.0,3.20572571566919e-10,2.8821674893556614e-9,0.0,0.0,0.0,0.0,0.0,0.0,3.2057269062515276e-10,2.8817682093583595e-9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.581555047622473
