Constraint,CapRes_1
t295,3.1341205169444397e-9
t296,3.680145383573511e-9
t297,3.264958546117765e-9
t298,2.8695363732986215e-9
t299,2.5738166183442333e-9
t300,2.5707103101713013e-9
t301,2.4309172227473283e-9
t302,2.0429883113956223e-9
t303,2.1689281987566492e-9
t304,2.1751285470851794e-9
t305,2.8259268361441455e-9
t306,3.2283591589543186e-9
t307,3.2873769622129343e-9
t308,3.2020460027765534e-9
t309,3.115900335518848e-9
t310,2.8987070299138396e-9
t311,2.566742304850815e-9
t312,2.406646740754194e-9
t313,2.2104460882480026e-9
t314,2.022991237968531e-9
t315,2.003927220556871e-9
t316,2.001376332736592e-9
t317,2.0160998983169626e-9
t318,2.0344375185411106e-9
t319,2.0616978734218103e-9
t320,1.8003351402116921e-9
t321,1.2924919187195362e-9
t322,1.1887329525553536e-9
t323,1.1350905600575849e-9
t324,1.1414174184388664e-9
t325,1.1214743305140534e-9
t326,1.1127926486081268e-9
t327,1.1018939365299566e-9
t328,1.1599636819918346e-9
t329,1.3709343890739277e-9
t330,2.082063113780747e-9
t331,2.4864072834493404e-9
t332,2.5308904274000454e-9
t333,2.50416183779528e-9
t334,2.4345878415718163e-9
t335,2.3022529887592505e-9
t336,2.1810153793858454e-9
t337,1.0059072694376259e-9
t338,9.812909615197665e-10
t339,9.789928297820449e-10
t340,9.755757075072114e-10
t341,9.796267025814872e-10
t342,1.0709239419881005e-9
t343,1.1728703266350803e-9
t344,1.0126176073572856e-9
t345,7.276270125561734e-10
t346,6.466343628136213e-10
t347,6.220860542051698e-10
t348,6.457203970612701e-10
t349,6.586884379441981e-10
t350,6.411524956783048e-10
t351,6.447655962910747e-10
t352,6.635298861254864e-10
t353,7.690018139718696e-10
t354,1.2014670692241693e-9
t355,1.665396136526172e-9
t356,1.7533059396016916e-9
t357,1.7288622770085836e-9
t358,1.6463783336284936e-9
t359,1.439586582790951e-9
t360,1.2025191479475007e-9
t361,1.1479646864915631e-9
t362,1.1358931788791423e-9
t363,1.127932146837499e-9
t364,1.1115678252642892e-9
t365,1.1686134525146913e-9
t366,1.326404883940443e-9
t367,1.5006315827198332e-9
t368,1.1602800298132286e-9
t369,8.903535660113482e-10
t370,7.914817675361223e-10
t371,7.476350986095992e-10
t372,7.44641323322272e-10
t373,7.381785306874003e-10
t374,7.433101696324771e-10
t375,7.561801365677509e-10
t376,7.941602688104565e-10
t377,9.172043975077737e-10
t378,1.2594282626888657e-9
t379,1.9423101524191713e-9
t380,2.029746792852049e-9
t381,2.02233310703869e-9
t382,1.8280004246003589e-9
t383,1.6098218582783226e-9
t384,1.3339487555042682e-9
t385,1.1938825168690718e-9
t386,1.1192638177446629e-9
t387,1.1224366191530162e-9
t388,1.1356301511183242e-9
t389,1.133895572059399e-9
t390,1.1721720076548701e-9
t391,1.3359580101798192e-9
t392,1.1251953967277126e-9
t393,9.964249237419913e-10
t394,8.762128304409458e-10
t395,7.146064107807123e-10
t396,8.729447342563997e-10
t397,8.290182034404108e-10
t398,8.334150963384105e-10
t399,8.247692750073817e-10
t400,8.176200794730265e-10
t401,8.579340997956289e-10
t402,1.0785406377297935e-9
t403,1.4383376365093731e-9
t404,1.7543392916607455e-9
t405,1.7311791142970262e-9
t406,1.6573862459538018e-9
t407,1.480865045700728e-9
t408,1.1926983663502078e-9
t409,1.0661594342939315e-9
t410,1.0071770648487888e-9
t411,1.0213466314542928e-9
t412,9.89843105862315e-10
t413,9.581246786142065e-10
t414,1.0189361195287865e-9
t415,1.1122183316995661e-9
t416,9.98689197441532e-10
t417,8.10143855228032e-10
t418,6.809502396799187e-10
t419,6.063366932404872e-10
t420,6.117407121670512e-10
t421,6.029023482130081e-10
t422,6.167486868032595e-10
t423,6.161663747039878e-10
t424,6.453773105148499e-10
t425,7.010859923413358e-10
t426,9.210947539704122e-10
t427,1.239609539260517e-9
t428,1.2652161808800429e-9
t429,1.2573004468185611e-9
t430,1.213396446447972e-9
t431,1.1753699746535414e-9
t432,1.0465348374857566e-9
t433,9.895978221249486e-10
t434,9.699847078756932e-10
t435,9.632080115206525e-10
t436,9.63590690620179e-10
t437,9.656292303136433e-10
t438,1.0589800523935598e-9
t439,1.1232687163015939e-9
t440,1.118186407395492e-9
t441,8.129646230525172e-10
t442,7.347738427929417e-10
t443,7.580143852419575e-10
t444,8.024806880824013e-10
t445,7.172670856267758e-10
t446,7.317949761537383e-10
t447,7.157841748717007e-10
t448,7.946730878734285e-10
t449,9.622896410564952e-10
t450,1.1807224206111147e-9
t451,1.3905115432804807e-9
t452,1.4355498192273106e-9
t453,1.4195723412173373e-9
t454,1.387184103671989e-9
t455,1.2675875726196828e-9
t456,1.104664528293277e-9
t457,1.0479251998976145e-9
t458,9.53830837682325e-10
t459,9.507836919233622e-10
t460,9.440316693707834e-10
t461,9.453838120954705e-10
t462,9.480643387948645e-10
t463,1.0230087007122006e-9
t464,8.176784751192396e-10
t465,7.228445424938872e-10
t466,7.954339855607728e-10
t467,8.652004358950304e-10
t468,8.355985427033612e-10
t469,8.066990607140785e-10
t470,6.986166853459854e-10
t471,9.176202266277669e-10
t472,1.0517277586124074e-9
t473,1.1187671707946015e-9
t474,1.2766711319863892e-9
t475,1.555464546506139e-9
t476,1.5873548752742528e-9
t477,1.5749963482436895e-9
t478,1.5207389809296576e-9
t479,1.3764585181456563e-9
t480,1.2398250473916428e-9
t481,1.1205565815067332e-9
t482,1.1186442830609016e-9
t483,1.0474471671880518e-9
t484,1.0127099722138356e-9
t485,1.0150897283484234e-9
t486,1.0129834139457345e-9
t487,1.0738449378057772e-9
t488,1.141188107855218e-9
t489,1.0910419229150234e-9
t490,1.1402151686359868e-9
t491,1.1143340961538725e-9
t492,1.0848190102615102e-9
t493,9.712751196217088e-10
t494,9.639077860799223e-10
t495,1.0473791301789802e-9
t496,1.156558506694502e-9
t497,1.1851089626528069e-9
t498,1.2814397898112462e-9
t499,1.3815835749860256e-9
t500,1.5847647422588349e-9
t501,1.5757367289140968e-9
t502,1.332750321867547e-9
t503,1.1279605754454145e-9
t504,1.0944568025259833e-9
t505,4.212721395047803e-10
t506,4.1661796010693513e-10
t507,4.1090623974157537e-10
t508,4.0585629118303914e-10
t509,4.1425815383793343e-10
t510,4.135440591547354e-10
t511,4.30492622261924e-10
t512,3.4750460357095453e-10
t513,2.885640472364249e-10
t514,2.743741132432786e-10
t515,2.605212163269837e-10
t516,2.491872147816976e-10
t517,2.486899803913736e-10
t518,2.6769796834679095e-10
t519,2.8022194956869675e-10
t520,2.96789735344783e-10
t521,2.986846685715503e-10
t522,3.679165551020722e-10
t523,5.058247239165221e-10
t524,6.601525562836194e-10
t525,6.536392865541378e-10
t526,6.23434614102069e-10
t527,5.970944331078711e-10
t528,5.663575907363559e-10
t529,5.062487413015791e-10
t530,4.1473597273904005e-10
t531,4.1577681969259573e-10
t532,4.133579478254574e-10
t533,4.20679166724678e-10
t534,4.2385738521959945e-10
t535,4.546697238755073e-10
t536,3.7980163489653776e-10
t537,3.232167705386292e-10
t538,3.073508020988144e-10
t539,2.8727227223484e-10
t540,3.0062493753635047e-10
t541,3.386559305584328e-10
t542,3.506338412138659e-10
t543,3.7519149848481846e-10
t544,3.7054743626547123e-10
t545,3.742454485888932e-10
t546,4.680095126041294e-10
t547,5.408296464445113e-10
t548,6.201200932238739e-10
t549,6.212623550585454e-10
t550,6.019403899286959e-10
t551,5.578721848863811e-10
t552,5.306463315892029e-10
t553,5.178344574758411e-10
t554,5.140546412239439e-10
t555,5.121367186134086e-10
t556,5.102011945889057e-10
t557,5.161054252921218e-10
t558,5.279162885208941e-10
t559,4.691786352592623e-10
t560,4.838674772078591e-10
t561,4.392144136187682e-10
t562,4.18789928098315e-10
t563,3.81866431012402e-10
t564,3.3047097813538804e-10
t565,3.1686937231992693e-10
t566,3.4923110598452857e-10
t567,3.5891630917223983e-10
t568,3.462667798449819e-10
t569,3.3742695361354874e-10
t570,4.7561570802217e-10
t571,5.688489012830197e-10
t572,8.177759506733576e-10
t573,8.025841249772428e-10
t574,7.622504240181514e-10
t575,7.256996540099756e-10
t576,6.3569997408424e-10
t577,5.633334606492864e-10
t578,5.175106153005603e-10
t579,4.978319476246062e-10
t580,4.930370446153445e-10
t581,4.955709412932998e-10
t582,5.034179140019519e-10
t583,4.816129222210496e-10
t584,4.468358508213233e-10
t585,3.562230619996526e-10
t586,3.332462625076331e-10
t587,3.4276044553246105e-10
t588,3.3748598208242985e-10
t589,3.450225439550437e-10
t590,3.6727535759059845e-10
t591,3.313501876951093e-10
t592,3.0572129540240686e-10
t593,3.3352777802955737e-10
t594,4.493601373845925e-10
t595,5.567503732412984e-10
t596,9.098667982380514e-10
t597,9.62480812177179e-10
t598,8.673124698149884e-10
t599,7.563550536767223e-10
t600,6.479002036201913e-10
t601,5.507694710742259e-10
t602,5.067493339316481e-10
t603,4.823397467641581e-10
t604,4.821766774382627e-10
t605,4.877909563671645e-10
t606,5.068912299778973e-10
t607,4.498133942451704e-10
t608,3.69319022948092e-10
t609,3.233358667554385e-10
t610,3.1307063503878874e-10
t611,3.15048183136416e-10
t612,3.103526426717876e-10
t613,3.09374493063707e-10
t614,3.080349526184008e-10
t615,2.953901492139567e-10
t616,2.846425792727573e-10
t617,2.8240699814077197e-10
t618,3.2336398001328354e-10
t619,4.536683063607693e-10
t620,4.707527050641224e-10
t621,4.744675551372108e-10
t622,4.574433248456314e-10
t623,4.331525600296327e-10
t624,4.2272808607250144e-10
t625,4.157473595917456e-10
t626,4.0915645859862567e-10
t627,4.0499018002560025e-10
t628,4.036407828213078e-10
t629,4.033285252850978e-10
t630,3.999785452237911e-10
t631,3.549343651549934e-10
t632,2.779871370891041e-10
t633,2.534665144668033e-10
t634,2.684076957700192e-10
t635,2.7130291213481173e-10
t636,2.7239159037365876e-10
t637,2.579484656599451e-10
t638,2.779294314906313e-10
t639,3.0866470855397795e-10
t640,2.8552623462821346e-10
t641,2.7967729393648355e-10
t642,3.3110905915565245e-10
t643,4.346500945257117e-10
t644,4.3676350917931583e-10
t645,4.388369022033547e-10
t646,4.327224377062347e-10
t647,4.2417256639627084e-10
t648,4.166379508043402e-10
t649,4.111682536825088e-10
t650,4.047439449610784e-10
t651,4.0098435426769107e-10
t652,3.982179597954736e-10
t653,3.955599767812645e-10
t654,3.9014977983565735e-10
t655,3.8690361593052525e-10
t656,2.934674559190567e-10
t657,2.5529504009945985e-10
t658,2.4484724161958613e-10
t659,2.496461726864495e-10
t660,2.600250814225253e-10
t661,2.698190995041109e-10
t662,2.812992844730475e-10
t663,3.1443911212225896e-10
t664,3.58173729693568e-10
t665,4.069336916485435e-10
t666,4.5657165692600283e-10
t667,4.774723396703661e-10
t668,4.827533486156253e-10
t669,4.829051442605774e-10
t670,4.753417618986767e-10
t671,4.527332841676144e-10
t672,4.216149397098048e-10
t673,6.192522428876065e-10
t674,5.954183267135245e-10
t675,5.702401021660031e-10
t676,5.551735712244367e-10
t677,5.64416790421046e-10
t678,5.260906200646771e-10
t679,4.976539964604859e-10
t680,4.994792088882002e-10
t681,4.959953967688065e-10
t682,4.4582338088736124e-10
t683,4.148856676532491e-10
t684,4.1399944377511294e-10
t685,4.1381055326825017e-10
t686,4.4075164461623316e-10
t687,4.2665793564844007e-10
t688,4.353400204416999e-10
t689,4.687490122677325e-10
t690,5.314072579004558e-10
t691,6.429927267186704e-10
t692,1.0294010366840232e-9
t693,1.030940803314091e-9
t694,9.919243262621233e-10
t695,8.441976652040594e-10
t696,7.045290561330387e-10
t697,6.030228164226515e-10
t698,5.58829251882769e-10
t699,5.355140491305206e-10
t700,5.26074637022902e-10
t701,5.400606299886535e-10
t702,5.618550518905888e-10
t703,5.850880841828556e-10
t704,5.814041099794329e-10
t705,5.532627187810164e-10
t706,5.33178132000549e-10
t707,5.169883185699849e-10
t708,5.220751544860967e-10
t709,5.233629039930495e-10
t710,5.277286566942845e-10
t711,5.450876258518934e-10
t712,5.897133577034634e-10
t713,6.350815362636353e-10
t714,6.346527050717791e-10
t715,6.701833737363727e-10
t716,6.667475523759082e-10
t717,6.632067803356041e-10
t718,6.423611087904273e-10
t719,5.69845460167327e-10
t720,5.318431332316676e-10
t721,5.173776744885446e-10
t722,5.081404996038593e-10
t723,5.038914837149198e-10
t724,5.061763745624956e-10
t725,5.077675175349687e-10
t726,5.175791817047454e-10
t727,5.378602731939262e-10
t728,5.802650763634809e-10
t729,5.515012235082211e-10
t730,5.435685792980976e-10
t731,5.145634523166686e-10
t732,4.675135785174261e-10
t733,4.609942881988261e-10
t734,4.936982705645288e-10
t735,5.126530884715905e-10
t736,5.137713235796763e-10
t737,5.234882339169912e-10
t738,5.586454142203657e-10
t739,6.596687686819645e-10
t740,8.945668148840679e-10
t741,1.0328501286280907e-9
t742,9.46808127327941e-10
t743,8.348952225586001e-10
t744,7.26112239737824e-10
t745,6.328993166759428e-10
t746,5.791833336399506e-10
t747,5.341452282627028e-10
t748,5.23356085306423e-10
t749,5.173072775476858e-10
t750,4.776624265491611e-10
t751,4.2087495655005226e-10
t752,3.749046511931966e-10
t753,3.5977555300760327e-10
t754,3.53920908807047e-10
t755,3.7387373894348613e-10
t756,3.6330231974141127e-10
t757,3.370420036082436e-10
t758,3.510046745287253e-10
t759,3.891189096028383e-10
t760,3.7069772987217484e-10
t761,3.502696500085397e-10
t762,3.6746984307062444e-10
t763,4.976350254418422e-10
t764,6.597121722110991e-10
t765,9.548924125208658e-10
t766,8.871808803357784e-10
t767,7.786128905797119e-10
t768,6.28688448325221e-10
t769,5.594718068716088e-10
t770,5.403079160125859e-10
t771,5.43110519023814e-10
t772,5.383403004659065e-10
t773,5.219434253596169e-10
t774,4.4410837066016634e-10
t775,3.858951209199012e-10
t776,3.271583935013362e-10
t777,3.198621137300481e-10
t778,3.0511795484544163e-10
t779,2.9784243382972247e-10
t780,2.8677604406130177e-10
t781,2.8916168510190175e-10
t782,2.871800662580587e-10
t783,2.9271293687454984e-10
t784,3.1398269634742417e-10
t785,3.137011253989488e-10
t786,3.558046596942295e-10
t787,4.812795573127085e-10
t788,5.265975403623028e-10
t789,7.041380220073922e-10
t790,6.974839324976506e-10
t791,6.640391074170755e-10
t792,6.297747078411584e-10
t793,5.779259956335599e-10
t794,5.152490475685961e-10
t795,5.019282044156722e-10
t796,4.976376877946293e-10
t797,4.878857851051327e-10
t798,4.2053451125359545e-10
t799,3.379579998341614e-10
t800,3.0360364167776216e-10
t801,3.049916920779965e-10
t802,3.1353702271585025e-10
t803,3.0630396355645066e-10
t804,3.051408370431926e-10
t805,2.907265980508402e-10
t806,2.9285718166447326e-10
t807,3.0496509432687475e-10
t808,3.1634067868400227e-10
t809,2.97128444203175e-10
t810,3.079916527574541e-10
t811,4.085523569808963e-10
t812,5.886724208516287e-10
t813,6.365401818748536e-10
t814,6.343651504032199e-10
t815,6.065403932816136e-10
t816,5.870654675350997e-10
t817,5.49908043152927e-10
t818,5.337652262234885e-10
t819,5.273843997238615e-10
t820,5.134482043548513e-10
t821,4.971095014906594e-10
t822,4.4372605548398775e-10
t823,3.8262083951993083e-10
t824,3.2208279537764546e-10
t825,3.3122172855919093e-10
t826,3.1844152114161165e-10
t827,3.0588929998618975e-10
t828,3.07083072806536e-10
t829,3.0187222145349797e-10
t830,3.0549419589219305e-10
t831,3.1749896836820106e-10
t832,3.2223674794160816e-10
t833,3.3726668507840145e-10
t834,3.74871171282298e-10
t835,4.80985494910264e-10
t836,5.800829995447212e-10
t837,7.134425365954682e-10
t838,7.074948086965486e-10
t839,6.72370808019743e-10
t840,6.238375953825938e-10
t841,9.118877795942857e-9
t842,7.731483060542939e-9
t843,7.3512997920243224e-9
t844,7.41435925462883e-9
t845,6.949351766524476e-9
t846,7.923904310189698e-9
t847,5.426726109578744e-9
t848,5.386062520288779e-9
t849,5.8153267569566454e-9
t850,6.147541462297297e-9
t851,6.421415453499798e-9
t852,6.676482926221164e-9
t853,6.914464721436448e-9
t854,7.229747127540958e-9
t855,7.273452970916542e-9
t856,8.003906257839036e-9
t857,8.950999560229318e-9
t858,1.0632034288719725e-8
t859,2.6887349786724416e-8
t860,1.1136805366820786e-7
t861,9.645065437697483e-8
t862,5.3760895676772605e-8
t863,3.137869186546452e-8
t864,1.2602754986847588e-8
t865,1.0078563364557443e-8
t866,7.773768715503436e-9
t867,7.374797335924047e-9
t868,8.326225806264042e-9
t869,8.470883201693081e-9
t870,9.977871012871771e-9
t871,6.877060956850463e-9
t872,7.247843985856519e-9
t873,7.80037651547477e-9
t874,8.842161879885146e-9
t875,9.518558862022046e-9
t876,9.850074685385594e-9
t877,1.038318713956747e-8
t878,1.0440631454932747e-8
t879,9.939056451152863e-9
t880,1.0179146740013701e-8
t881,7.66003856576645e-9
t882,1.1449638317636909e-8
t883,3.447602336048348e-8
t884,986.0269536538873
t885,1.3391279375858149e-7
t886,8.091027072635631e-8
t887,1.9290663972202363e-8
t888,1.5299078549446535e-8
t889,1.1201739474180923e-8
t890,8.628425267257845e-9
t891,7.919323175874687e-9
t892,8.241002448574075e-9
t893,8.327497841973734e-9
t894,9.058327934487763e-9
t895,6.770416437242836e-9
t896,6.97940108591479e-9
t897,7.490044764580026e-9
t898,7.901415939728513e-9
t899,8.261330075911337e-9
t900,9.150569546678762e-9
t901,9.654285960251096e-9
t902,1.2050167251653046e-8
t903,2.3477682552854217e-8
t904,1.835396284777106e-8
t905,1.928868111307999e-8
t906,3.21992862965574e-8
t907,1075.0318116354981
t908,1068.4947443808762
t909,1684.803723776631
t910,1.9998480220492466e-7
t911,1.8465393786529403e-8
t912,9.553785735115028e-9
t913,8.94549218820717e-9
t914,8.039572954549235e-9
t915,7.78737845270815e-9
t916,7.619455394960157e-9
t917,7.342997333888464e-9
t918,7.622860933351008e-9
t919,7.873993889545595e-9
t920,6.046440775257194e-9
t921,6.121093330068341e-9
t922,5.916430602535674e-9
t923,5.646809995740539e-9
t924,5.685605426823534e-9
t925,5.7892286770661535e-9
t926,5.909379648328311e-9
t927,5.889360464111729e-9
t928,5.831715943745544e-9
t929,6.177654520466022e-9
t930,6.868866665339555e-9
t931,1.3390154592478383e-8
t932,2.031524793830224e-8
t933,2.0347812890638356e-8
t934,1.8151026952882618e-8
t935,1.5245076494226876e-8
t936,9.574203136111343e-9
t937,7.484039813966584e-9
t938,7.1915078801752835e-9
t939,7.153204134786358e-9
t940,7.086793538178434e-9
t941,6.9617212250300935e-9
t942,7.329228759731848e-9
t943,7.711015908210746e-9
t944,8.283704797740052e-9
t945,8.60401789287449e-9
t946,7.121367190207485e-9
t947,6.156019810062785e-9
t948,6.025433303748796e-9
t949,5.918590215436707e-9
t950,5.983470477630315e-9
t951,5.972240603657545e-9
t952,5.825302376875749e-9
t953,5.918279346363463e-9
t954,9.119967754536443e-9
t955,8.675395326640983e-9
t956,9.09158656730734e-9
t957,9.008712399891946e-9
t958,8.776596234064433e-9
t959,8.357945872457396e-9
t960,7.222462542083687e-9
t961,6.722124374301733e-9
t962,6.602322286003432e-9
t963,6.460640500304689e-9
t964,6.414433400980153e-9
t965,6.157821971765929e-9
t966,5.500943750346842e-9
t967,3.7635228490131974e-9
t968,3.0550434765119105e-9
