Resource,natural_gas_combined_cycle,solar_pv,onshore_wind,battery,Total
Zone,1,1,1,1,0
AnnualSum,0.0,0.0,0.0,5.770915368973636e6,5.770915368973636e6
t1,0.0,0.0,0.0,1771.2798063192422,1771.2798063192422
t2,0.0,0.0,0.0,1771.2798063192565,1771.2798063192565
t3,0.0,0.0,0.0,1771.2798063192422,1771.2798063192422
t4,0.0,0.0,0.0,1771.2798063192495,1771.2798063192495
t5,0.0,0.0,0.0,1771.2798063192422,1771.2798063192422
t6,0.0,0.0,0.0,1771.2798063192495,1771.2798063192495
t7,0.0,0.0,0.0,125.29098858206922,125.29098858206922
t8,0.0,0.0,0.0,303.7225450767833,303.7225450767833
t9,0.0,0.0,0.0,0.0,0.0
t10,0.0,0.0,0.0,0.0,0.0
t11,0.0,0.0,0.0,0.0,0.0
t12,0.0,0.0,0.0,0.0,0.0
t13,0.0,0.0,0.0,0.0,0.0
t14,0.0,0.0,0.0,0.0,0.0
t15,0.0,0.0,0.0,0.0,0.0
t16,0.0,0.0,0.0,0.0,0.0
t17,0.0,0.0,0.0,0.0,0.0
t18,0.0,0.0,0.0,0.0,0.0
t19,0.0,0.0,0.0,2602.780358696669,2602.780358696669
t20,0.0,0.0,0.0,2950.896031636624,2950.896031636624
t21,0.0,0.0,0.0,2436.644601834356,2436.644601834356
t22,0.0,0.0,0.0,0.0,0.0
t23,0.0,0.0,0.0,3270.491034387854,3270.491034387854
t24,0.0,0.0,0.0,1440.38449619659,1440.38449619659
t25,0.0,0.0,0.0,1433.3685945604188,1433.3685945604188
t26,0.0,0.0,0.0,2712.154906451362,2712.154906451362
t27,0.0,0.0,0.0,272.0685782506358,272.0685782506358
t28,0.0,0.0,0.0,3270.491034387854,3270.491034387854
t29,0.0,0.0,0.0,1771.2798063192495,1771.2798063192495
t30,0.0,0.0,0.0,1771.2798063192422,1771.2798063192422
t31,0.0,0.0,0.0,1624.739583327431,1624.739583327431
t32,0.0,0.0,0.0,250.19460891001177,250.19460891001177
t33,0.0,0.0,0.0,1811.1533785343404,1811.1533785343404
t34,0.0,0.0,0.0,1918.5061209269722,1918.5061209269722
t35,0.0,0.0,0.0,3251.80533989747,3251.80533989747
t36,0.0,0.0,0.0,1771.2798063192422,1771.2798063192422
t37,0.0,0.0,0.0,1771.279806319228,1771.279806319228
t38,0.0,0.0,0.0,1771.2798063192422,1771.2798063192422
t39,0.0,0.0,0.0,1771.2798063192565,1771.2798063192565
t40,0.0,0.0,0.0,1771.279806319245,1771.279806319245
