Resource,Zone,StartCap,RetCap,NewCap,EndCap,StartEnergyCap,RetEnergyCap,NewEnergyCap,EndEnergyCap,StartChargeCap,RetChargeCap,NewChargeCap,EndChargeCap
natural_gas_combined_cycle,1,18202.954426791235,2502.2428914640964,0.0,15700.711535327137,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
solar_pv,1,4057.413297073614,0.0,8805.118700280233,12862.531997353846,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
onshore_wind,1,9072.591367869294,0.0,8092.217168467519,17164.808536336815,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
battery,1,1311.006083519632,0.0,1959.484950868222,3270.491034387854,3088.6931523175726,0.0,3008.6614699280467,6097.35462224562,0.0,0.0,0.0,0.0
Total,n/a,32643.965175253772,2502.2428914640964,18856.820819615976,48998.543103405646,3088.6931523175726,0.0,3008.6614699280467,6097.35462224562,0.0,0.0,0.0,0.0
