Resource,Zone,StartCap_p1,EndCap_p1,EndCap_p2,EndCap_p3
natural_gas_combined_cycle,1,10000.0,18202.954426791235,15700.711535327142,12091.25967802173
solar_pv,1,500.0,4057.413297073614,12862.53199735382,22725.303297873863
onshore_wind,1,1000.0,9072.591367869296,17164.808536336815,26828.102532056193
battery,1,0.0,1311.0060835196325,3270.4910343878537,31447.711715276884
Total,n/a,11500.0,32643.965175253776,48998.54310340563,93092.37722322866
