Resource,Zone,StartCap,RetCap,NewCap,EndCap,StartEnergyCap,RetEnergyCap,NewEnergyCap,EndEnergyCap,StartChargeCap,RetChargeCap,NewChargeCap,EndChargeCap
natural_gas_combined_cycle,1,15700.711535327127,5700.7115353271265,2091.259678021702,12091.259678021705,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
solar_pv,1,12862.531997353888,3559.537687178651,13422.308987698694,22725.303297873932,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
onshore_wind,1,17164.808536336815,8071.655544123864,17734.949539843412,26828.102532056364,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
battery,1,3270.491034387854,1310.9707300180985,29488.191410907843,31447.711715277597,6097.354622245664,3083.5471256077085,28433.90421863964,31447.711715277594,0.0,0.0,0.0,0.0
Total,n/a,48998.54310340568,18642.875496647743,62736.70961647165,93092.37722322959,6097.354622245664,3083.5471256077085,28433.90421863964,31447.711715277594,0.0,0.0,0.0,0.0
