Resource,Zone,StartCap,RetCap,NewCap,EndCap,StartEnergyCap,RetEnergyCap,NewEnergyCap,EndEnergyCap,StartChargeCap,RetChargeCap,NewChargeCap,EndChargeCap
natural_gas_combined_cycle,1,21572.004790541796,0.0,0.0,21572.004790541796,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
solar_pv,1,500.0,0.0,0.0,500.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
onshore_wind,1,1314.6559231584076,0.0,0.0,1314.6559231584076,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
battery,1,7131.0,0.0,7131.0,14262.0,7131.0,0.0,7131.0,14262.0,0.0,0.0,0.0,0.0
Total,n/a,30517.660713700203,0.0,7131.0,37648.6607137002,7131.0,0.0,7131.0,14262.0,0.0,0.0,0.0,0.0
