Resource,natural_gas_combined_cycle,solar_pv,onshore_wind,battery,Total
Zone,1,1,1,1,0
AnnualSum,0.0,0.0,0.0,4.930493971053419e7,4.930493971053419e7
t1,0.0,0.0,0.0,9115.869364631762,9115.869364631762
t2,0.0,0.0,0.0,9115.869364631748,9115.869364631748
t3,0.0,0.0,0.0,9115.869364631748,9115.869364631748
t4,0.0,0.0,0.0,9115.869364631755,9115.869364631755
t5,0.0,0.0,0.0,9115.869364631755,9115.869364631755
t6,0.0,0.0,0.0,9115.869364631755,9115.869364631755
t7,0.0,0.0,0.0,3514.932589909238,3514.932589909238
t8,0.0,0.0,0.0,12112.131531876073,12112.131531876073
t9,0.0,0.0,0.0,3086.639913217509,3086.639913217509
t10,0.0,0.0,0.0,8490.232237078846,8490.232237078846
t11,0.0,0.0,0.0,10257.67178816854,10257.67178816854
t12,0.0,0.0,0.0,11171.158816727946,11171.158816727946
t13,0.0,0.0,0.0,10778.189529232455,10778.189529232455
t14,0.0,0.0,0.0,10502.874189885413,10502.874189885413
t15,0.0,0.0,0.0,8001.5129187025805,8001.5129187025805
t16,0.0,0.0,0.0,7026.91014361352,7026.91014361352
t17,0.0,0.0,0.0,2090.434920736307,2090.434920736307
t18,0.0,0.0,0.0,9734.013756868408,9734.013756868408
t19,0.0,0.0,0.0,15239.08640547314,15239.08640547314
t20,0.0,0.0,0.0,15121.251910071584,15121.251910071584
t21,0.0,0.0,0.0,9610.999817914788,9610.999817914788
t22,0.0,0.0,0.0,9115.869364631748,9115.869364631748
t23,0.0,0.0,0.0,9115.869364631748,9115.869364631748
t24,0.0,0.0,0.0,3286.635612465629,3286.635612465629
t25,0.0,0.0,0.0,3687.0986989317967,3687.0986989317967
t26,0.0,0.0,0.0,13276.221604408602,13276.221604408602
t27,0.0,0.0,0.0,8497.849712496676,8497.849712496676
t28,0.0,0.0,0.0,16831.541194856072,16831.541194856072
t29,0.0,0.0,0.0,9115.869364631742,9115.869364631742
t30,0.0,0.0,0.0,7050.174126118458,7050.174126118458
t31,0.0,0.0,0.0,3370.5960711122475,3370.5960711122475
t32,0.0,0.0,0.0,3072.0175861498406,3072.0175861498406
t33,0.0,0.0,0.0,10865.757027325617,10865.757027325617
t34,0.0,0.0,0.0,10309.605294275954,10309.605294275954
t35,0.0,0.0,0.0,5430.650426432618,5430.650426432618
t36,0.0,0.0,0.0,12235.038673923504,12235.038673923504
t37,0.0,0.0,0.0,6475.8044612472195,6475.8044612472195
t38,0.0,0.0,0.0,11350.420298856425,11350.420298856425
t39,0.0,0.0,0.0,7224.545453903993,7224.545453903993
t40,0.0,0.0,0.0,16831.541194856072,16831.541194856072
t41,0.0,0.0,0.0,15174.281761379112,15174.281761379112
t42,0.0,0.0,0.0,9115.869364631762,9115.869364631762
t43,0.0,0.0,0.0,760.2748455483361,760.2748455483361
t44,0.0,0.0,0.0,2452.9216162851244,2452.9216162851244
t45,0.0,0.0,0.0,13147.936459414474,13147.936459414474
t46,0.0,0.0,0.0,15004.364449219825,15004.364449219825
t47,0.0,0.0,0.0,14213.849452691007,14213.849452691007
t48,0.0,0.0,0.0,9115.869364631748,9115.869364631748
t49,0.0,0.0,0.0,3200.316713969389,3200.316713969389
t50,0.0,0.0,0.0,12873.843406847936,12873.843406847936
t51,0.0,0.0,0.0,8351.730632575329,8351.730632575329
t52,0.0,0.0,0.0,3451.7264019393147,3451.7264019393147
t53,0.0,0.0,0.0,12240.473916329724,12240.473916329724
t54,0.0,0.0,0.0,12814.626606801528,12814.626606801528
t55,0.0,0.0,0.0,9962.991014906358,9962.991014906358
t56,0.0,0.0,0.0,1287.1503079543522,1287.1503079543522
t57,0.0,0.0,0.0,1429.315504795331,1429.315504795331
t58,0.0,0.0,0.0,15621.768551597304,15621.768551597304
t59,0.0,0.0,0.0,3609.2762927841136,3609.2762927841136
t60,0.0,0.0,0.0,16831.541194856072,16831.541194856072
t61,0.0,0.0,0.0,16831.541194856072,16831.541194856072
t62,0.0,0.0,0.0,9115.869364631762,9115.869364631762
t63,0.0,0.0,0.0,1139.5119733678864,1139.5119733678864
t64,0.0,0.0,0.0,16831.541194856072,16831.541194856072
t65,0.0,0.0,0.0,463.111424495704,463.111424495704
t66,0.0,0.0,0.0,5168.4771212395,5168.4771212395
t67,0.0,0.0,0.0,14153.130732155181,14153.130732155181
t68,0.0,0.0,0.0,11892.724082375424,11892.724082375424
t69,0.0,0.0,0.0,14162.589023932514,14162.589023932514
t70,0.0,0.0,0.0,2626.161516685874,2626.161516685874
t71,0.0,0.0,0.0,15605.577212577637,15605.577212577637
t72,0.0,0.0,0.0,9115.869364631735,9115.869364631735
t73,0.0,0.0,0.0,9115.869364631735,9115.869364631735
t74,0.0,0.0,0.0,9115.869364631748,9115.869364631748
t75,0.0,0.0,0.0,9115.869364631735,9115.869364631735
t76,0.0,0.0,0.0,9115.869364631748,9115.869364631748
t77,0.0,0.0,0.0,9115.869364631748,9115.869364631748
t78,0.0,0.0,0.0,9115.869364631748,9115.869364631748
t79,0.0,0.0,0.0,9115.869364631748,9115.869364631748
t80,0.0,0.0,0.0,9115.869364631748,9115.869364631748
t81,0.0,0.0,0.0,9083.168043126241,9083.168043126241
t82,0.0,0.0,0.0,9148.570686137266,9148.570686137266
t83,0.0,0.0,0.0,8844.674410030244,8844.674410030244
t84,0.0,0.0,0.0,8685.905366677325,8685.905366677325
t85,0.0,0.0,0.0,9595.945774116079,9595.945774116079
t86,0.0,0.0,0.0,9336.951907703376,9336.951907703376
t87,0.0,0.0,0.0,0.0,0.0
t88,0.0,0.0,0.0,0.0,0.0
t89,0.0,0.0,0.0,0.0,0.0
t90,0.0,0.0,0.0,0.0,0.0
t91,0.0,0.0,0.0,0.0,0.0
t92,0.0,0.0,0.0,0.0,0.0
t93,0.0,0.0,0.0,0.0,0.0
t94,0.0,0.0,0.0,0.0,0.0
t95,0.0,0.0,0.0,937.1469249087934,937.1469249087934
t96,0.0,0.0,0.0,979.8195796942333,979.8195796942333
t97,0.0,0.0,0.0,0.0,0.0
t98,0.0,0.0,0.0,5230.45148381709,5230.45148381709
t99,0.0,0.0,0.0,936.0857004321357,936.0857004321357
t100,0.0,0.0,0.0,2660.950687678233,2660.950687678233
t101,0.0,0.0,0.0,2617.5468158031185,2617.5468158031185
t102,0.0,0.0,0.0,0.0,0.0
t103,0.0,0.0,0.0,0.0,0.0
t104,0.0,0.0,0.0,0.0,0.0
t105,0.0,0.0,0.0,0.0,0.0
t106,0.0,0.0,0.0,0.0,0.0
t107,0.0,0.0,0.0,3620.748547986344,3620.748547986344
t108,0.0,0.0,0.0,9897.337459709492,9897.337459709492
t109,0.0,0.0,0.0,11224.958868444339,11224.958868444339
t110,0.0,0.0,0.0,12635.251117296912,12635.251117296912
t111,0.0,0.0,0.0,12351.640561967435,12351.640561967435
t112,0.0,0.0,0.0,12800.488459218848,12800.488459218848
t113,0.0,0.0,0.0,5418.607330020809,5418.607330020809
t114,0.0,0.0,0.0,11847.125276755547,11847.125276755547
t115,0.0,0.0,0.0,10081.87548711891,10081.87548711891
t116,0.0,0.0,0.0,0.0,0.0
t117,0.0,0.0,0.0,0.0,0.0
t118,0.0,0.0,0.0,0.0,0.0
t119,0.0,0.0,0.0,0.0,0.0
t120,0.0,0.0,0.0,0.0,0.0
t121,0.0,0.0,0.0,156.72727665197783,156.72727665197783
t122,0.0,0.0,0.0,0.0,0.0
t123,0.0,0.0,0.0,0.0,0.0
t124,0.0,0.0,0.0,0.0,0.0
t125,0.0,0.0,0.0,0.0,0.0
t126,0.0,0.0,0.0,0.0,0.0
t127,0.0,0.0,0.0,0.0,0.0
t128,0.0,0.0,0.0,0.0,0.0
t129,0.0,0.0,0.0,596.9318357937592,596.9318357937592
t130,0.0,0.0,0.0,8427.439669665966,8427.439669665966
t131,0.0,0.0,0.0,10989.86925471332,10989.86925471332
t132,0.0,0.0,0.0,9366.433614781947,9366.433614781947
t133,0.0,0.0,0.0,7859.560950853206,7859.560950853206
t134,0.0,0.0,0.0,11383.736820298856,11383.736820298856
t135,0.0,0.0,0.0,974.1866012256626,974.1866012256626
t136,0.0,0.0,0.0,0.0,0.0
t137,0.0,0.0,0.0,0.0,0.0
t138,0.0,0.0,0.0,0.0,0.0
t139,0.0,0.0,0.0,0.0,0.0
t140,0.0,0.0,0.0,0.0,0.0
t141,0.0,0.0,0.0,0.0,0.0
t142,0.0,0.0,0.0,0.0,0.0
t143,0.0,0.0,0.0,0.0,0.0
t144,0.0,0.0,0.0,1300.1442211680808,1300.1442211680808
t145,0.0,0.0,0.0,882.0789239805107,882.0789239805107
t146,0.0,0.0,0.0,3829.425948852562,3829.425948852562
t147,0.0,0.0,0.0,6105.553450858081,6105.553450858081
t148,0.0,0.0,0.0,5263.00704015355,5263.00704015355
t149,0.0,0.0,0.0,970.4819352300511,970.4819352300511
t150,0.0,0.0,0.0,0.0,0.0
t151,0.0,0.0,0.0,0.0,0.0
t152,0.0,0.0,0.0,0.0,0.0
t153,0.0,0.0,0.0,0.0,0.0
t154,0.0,0.0,0.0,5544.9887713765165,5544.9887713765165
t155,0.0,0.0,0.0,14024.36922070757,14024.36922070757
t156,0.0,0.0,0.0,10491.215387306123,10491.215387306123
t157,0.0,0.0,0.0,10764.10279043226,10764.10279043226
t158,0.0,0.0,0.0,12092.167008248673,12092.167008248673
t159,0.0,0.0,0.0,7542.742776406787,7542.742776406787
t160,0.0,0.0,0.0,8180.043052902194,8180.043052902194
t161,0.0,0.0,0.0,1885.7223417889397,1885.7223417889397
t162,0.0,0.0,0.0,11331.031813157913,11331.031813157913
t163,0.0,0.0,0.0,14819.768513640114,14819.768513640114
t164,0.0,0.0,0.0,14571.533066668353,14571.533066668353
t165,0.0,0.0,0.0,9115.869364631755,9115.869364631755
t166,0.0,0.0,0.0,9115.869364631748,9115.869364631748
t167,0.0,0.0,0.0,9115.869364631748,9115.869364631748
t168,0.0,0.0,0.0,9115.869364631748,9115.869364631748
t169,0.0,0.0,0.0,15504.486712696204,15504.486712696204
t170,0.0,0.0,0.0,3580.0255297588615,3580.0255297588615
t171,0.0,0.0,0.0,15345.424679196643,15345.424679196643
t172,0.0,0.0,0.0,11569.230599104154,11569.230599104154
t173,0.0,0.0,0.0,14821.210315470633,14821.210315470633
t174,0.0,0.0,0.0,9115.869364631755,9115.869364631755
t175,0.0,0.0,0.0,9115.869364631762,9115.869364631762
t176,0.0,0.0,0.0,9115.869364631748,9115.869364631748
t177,0.0,0.0,0.0,9115.869364631755,9115.869364631755
t178,0.0,0.0,0.0,9115.869364631755,9115.869364631755
t179,0.0,0.0,0.0,9115.869364631752,9115.869364631752
t180,0.0,0.0,0.0,9115.869364631752,9115.869364631752
t181,0.0,0.0,0.0,7422.060331961139,7422.060331961139
t182,0.0,0.0,0.0,10809.678397302372,10809.678397302372
t183,0.0,0.0,0.0,6912.893485546393,6912.893485546393
t184,0.0,0.0,0.0,9727.666578759974,9727.666578759974
t185,0.0,0.0,0.0,10707.048029588897,10707.048029588897
t186,0.0,0.0,0.0,7146.032659964629,7146.032659964629
t187,0.0,0.0,0.0,6333.9460570339625,6333.9460570339625
t188,0.0,0.0,0.0,5202.575314379668,5202.575314379668
t189,0.0,0.0,0.0,5403.559483985521,5403.559483985521
t190,0.0,0.0,0.0,8763.73384725109,8763.73384725109
t191,0.0,0.0,0.0,6065.888261689359,6065.888261689359
t192,0.0,0.0,0.0,12514.27665833584,12514.27665833584
t193,0.0,0.0,0.0,11815.388437420086,11815.388437420086
t194,0.0,0.0,0.0,12821.248349739119,12821.248349739119
t195,0.0,0.0,0.0,13617.783122743282,13617.783122743282
t196,0.0,0.0,0.0,4371.998518654568,4371.998518654568
t197,0.0,0.0,0.0,13859.740210608941,13859.740210608941
t198,0.0,0.0,0.0,6420.188518006807,6420.188518006807
t199,0.0,0.0,0.0,11811.550211256701,11811.550211256701
t200,0.0,0.0,0.0,7559.32833009531,7559.32833009531
t201,0.0,0.0,0.0,1823.931217728788,1823.931217728788
t202,0.0,0.0,0.0,1622.0487666009672,1622.0487666009672
t203,0.0,0.0,0.0,16645.45486506152,16645.45486506152
t204,0.0,0.0,0.0,1556.0124508114957,1556.0124508114957
t205,0.0,0.0,0.0,15514.532256489221,15514.532256489221
t206,0.0,0.0,0.0,9708.44834060199,9708.44834060199
t207,0.0,0.0,0.0,16831.541194856072,16831.541194856072
t208,0.0,0.0,0.0,1912.6085560746535,1912.6085560746535
t209,0.0,0.0,0.0,1715.4429846460814,1715.4429846460814
t210,0.0,0.0,0.0,15323.934829331358,15323.934829331358
t211,0.0,0.0,0.0,13683.618891245265,13683.618891245265
t212,0.0,0.0,0.0,4157.685481782763,4157.685481782763
t213,0.0,0.0,0.0,9217.899905231647,9217.899905231647
t214,0.0,0.0,0.0,9981.548987763146,9981.548987763146
t215,0.0,0.0,0.0,11933.47141283878,11933.47141283878
t216,0.0,0.0,0.0,11038.537571043906,11038.537571043906
t217,0.0,0.0,0.0,8853.105531677318,8853.105531677318
t218,0.0,0.0,0.0,8972.406714020628,8972.406714020628
t219,0.0,0.0,0.0,11839.855817667392,11839.855817667392
t220,0.0,0.0,0.0,10678.24929357776,10678.24929357776
t221,0.0,0.0,0.0,9979.462622752535,9979.462622752535
t222,0.0,0.0,0.0,0.0,0.0
t223,0.0,0.0,0.0,0.0,0.0
t224,0.0,0.0,0.0,0.0,0.0
t225,0.0,0.0,0.0,0.0,0.0
t226,0.0,0.0,0.0,0.0,0.0
t227,0.0,0.0,0.0,3309.324809574618,3309.324809574618
t228,0.0,0.0,0.0,9901.577466208331,9901.577466208331
t229,0.0,0.0,0.0,15673.531882413581,15673.531882413581
t230,0.0,0.0,0.0,10246.335323388084,10246.335323388084
t231,0.0,0.0,0.0,13974.658794000281,13974.658794000281
t232,0.0,0.0,0.0,9115.869364631748,9115.869364631748
t233,0.0,0.0,0.0,1482.4291275032238,1482.4291275032238
t234,0.0,0.0,0.0,956.0253530671332,956.0253530671332
t235,0.0,0.0,0.0,14801.298556483713,14801.298556483713
t236,0.0,0.0,0.0,12347.70944396768,12347.70944396768
t237,0.0,0.0,0.0,11317.133824692764,11317.133824692764
t238,0.0,0.0,0.0,1785.7244921648796,1785.7244921648796
t239,0.0,0.0,0.0,12494.397999649656,12494.397999649656
t240,0.0,0.0,0.0,6906.391371050354,6906.391371050354
t241,0.0,0.0,0.0,11038.249298289733,11038.249298289733
t242,0.0,0.0,0.0,11876.410752286347,11876.410752286347
t243,0.0,0.0,0.0,12677.76672845853,12677.76672845853
t244,0.0,0.0,0.0,11706.895427967052,11706.895427967052
t245,0.0,0.0,0.0,9115.869364631748,9115.869364631748
t246,0.0,0.0,0.0,9115.869364631735,9115.869364631735
t247,0.0,0.0,0.0,8848.516456725129,8848.516456725129
t248,0.0,0.0,0.0,1888.0807816385623,1888.0807816385623
t249,0.0,0.0,0.0,8981.292826885223,8981.292826885223
t250,0.0,0.0,0.0,7821.3621577032845,7821.3621577032845
t251,0.0,0.0,0.0,9074.049781553844,9074.049781553844
t252,0.0,0.0,0.0,8673.795272765577,8673.795272765577
t253,0.0,0.0,0.0,10204.397957093715,10204.397957093715
t254,0.0,0.0,0.0,16831.541194856072,16831.541194856072
t255,0.0,0.0,0.0,2004.1160222400674,2004.1160222400674
t256,0.0,0.0,0.0,16831.541194856072,16831.541194856072
t257,0.0,0.0,0.0,9115.869364631762,9115.869364631762
t258,0.0,0.0,0.0,9115.869364631748,9115.869364631748
t259,0.0,0.0,0.0,9115.869364631735,9115.869364631735
t260,0.0,0.0,0.0,9115.869364631748,9115.869364631748
t261,0.0,0.0,0.0,9115.869364631748,9115.869364631748
t262,0.0,0.0,0.0,5931.525788533444,5931.525788533444
t263,0.0,0.0,0.0,2622.4989508114954,2622.4989508114954
t264,0.0,0.0,0.0,3153.1479169769073,3153.1479169769073
t265,0.0,0.0,0.0,16831.54119485606,16831.54119485606
t266,0.0,0.0,0.0,16831.541194856072,16831.541194856072
t267,0.0,0.0,0.0,3829.5484658490614,3829.5484658490614
t268,0.0,0.0,0.0,13683.47744925756,13683.47744925756
t269,0.0,0.0,0.0,3720.588544796458,3720.588544796458
t270,0.0,0.0,0.0,12448.811982920297,12448.811982920297
t271,0.0,0.0,0.0,10301.18824760702,10301.18824760702
t272,0.0,0.0,0.0,8576.31077189074,8576.31077189074
t273,0.0,0.0,0.0,1869.6849508114947,1869.6849508114947
t274,0.0,0.0,0.0,6291.234864033892,6291.234864033892
t275,0.0,0.0,0.0,8207.644702362742,8207.644702362742
t276,0.0,0.0,0.0,9884.590718776246,9884.590718776246
t277,0.0,0.0,0.0,8465.223610483858,8465.223610483858
t278,0.0,0.0,0.0,14605.548013692154,14605.548013692154
t279,0.0,0.0,0.0,16831.541194856072,16831.541194856072
t280,0.0,0.0,0.0,2968.4935790865197,2968.4935790865197
t281,0.0,0.0,0.0,1929.5893229919461,1929.5893229919461
t282,0.0,0.0,0.0,9903.47892530569,9903.47892530569
t283,0.0,0.0,0.0,14109.768630823051,14109.768630823051
t284,0.0,0.0,0.0,9748.207323563916,9748.207323563916
t285,0.0,0.0,0.0,11742.955705990593,11742.955705990593
t286,0.0,0.0,0.0,10960.674844447114,10960.674844447114
t287,0.0,0.0,0.0,11563.786584845204,11563.786584845204
t288,0.0,0.0,0.0,0.0,0.0
t289,0.0,0.0,0.0,0.0,0.0
t290,0.0,0.0,0.0,0.0,0.0
t291,0.0,0.0,0.0,0.0,0.0
t292,0.0,0.0,0.0,0.0,0.0
t293,0.0,0.0,0.0,0.0,0.0
t294,0.0,0.0,0.0,0.0,0.0
t295,0.0,0.0,0.0,0.0,0.0
t296,0.0,0.0,0.0,0.0,0.0
t297,0.0,0.0,0.0,0.0,0.0
t298,0.0,0.0,0.0,0.0,0.0
t299,0.0,0.0,0.0,0.0,0.0
t300,0.0,0.0,0.0,0.0,0.0
t301,0.0,0.0,0.0,0.0,0.0
t302,0.0,0.0,0.0,11854.656301926365,11854.656301926365
t303,0.0,0.0,0.0,7287.365935278557,7287.365935278557
t304,0.0,0.0,0.0,1911.9989657166059,1911.9989657166059
t305,0.0,0.0,0.0,3862.795444497518,3862.795444497518
t306,0.0,0.0,0.0,0.0,0.0
t307,0.0,0.0,0.0,3691.560490728893,3691.560490728893
t308,0.0,0.0,0.0,2416.4880851194025,2416.4880851194025
t309,0.0,0.0,0.0,0.0,0.0
t310,0.0,0.0,0.0,0.0,0.0
t311,0.0,0.0,0.0,0.0,0.0
t312,0.0,0.0,0.0,0.0,0.0
t313,0.0,0.0,0.0,6401.4888688872525,6401.4888688872525
t314,0.0,0.0,0.0,15570.24627461151,15570.24627461151
t315,0.0,0.0,0.0,16812.870384807255,16812.870384807255
t316,0.0,0.0,0.0,9115.869364631755,9115.869364631755
t317,0.0,0.0,0.0,9115.869364631762,9115.869364631762
t318,0.0,0.0,0.0,9115.869364631752,9115.869364631752
t319,0.0,0.0,0.0,9115.869364631755,9115.869364631755
t320,0.0,0.0,0.0,2838.532041037059,2838.532041037059
t321,0.0,0.0,0.0,15393.20668822645,15393.20668822645
t322,0.0,0.0,0.0,9115.869364631748,9115.869364631748
t323,0.0,0.0,0.0,9115.869364631748,9115.869364631748
t324,0.0,0.0,0.0,9115.869364631757,9115.869364631757
t325,0.0,0.0,0.0,8530.211114072528,8530.211114072528
t326,0.0,0.0,0.0,9701.527615190982,9701.527615190982
t327,0.0,0.0,0.0,9115.86936463176,9115.86936463176
t328,0.0,0.0,0.0,2262.1293417889383,2262.1293417889383
t329,0.0,0.0,0.0,15969.609387474567,15969.609387474567
t330,0.0,0.0,0.0,9115.86936463175,9115.86936463175
t331,0.0,0.0,0.0,9115.869364631746,9115.869364631746
t332,0.0,0.0,0.0,7462.109924314835,7462.109924314835
t333,0.0,0.0,0.0,1711.669480886682,1711.669480886682
t334,0.0,0.0,0.0,2008.8329019393161,2008.8329019393161
t335,0.0,0.0,0.0,15131.265026654635,15131.265026654635
t336,0.0,0.0,0.0,4024.4384762955915,4024.4384762955915
