Resource,Zone,StartCap,RetCap,NewCap,EndCap,StartEnergyCap,RetEnergyCap,NewEnergyCap,EndEnergyCap,StartChargeCap,RetChargeCap,NewChargeCap,EndChargeCap
natural_gas_combined_cycle,1,16304.812395973177,6304.8123959731765,1759.1094578517357,11759.109457851735,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
solar_pv,1,13575.301092169379,3643.0548777666622,16492.971850814796,26425.218065217516,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
onshore_wind,1,17239.61974149808,8034.981957024593,19634.124910747836,28838.762695221325,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
battery,1,2374.29222188585,1137.546198618563,15594.795171588785,16831.541194856072,4098.104309636448,2133.316727731206,32325.78240599132,34290.56998789656,0.0,0.0,0.0,0.0
Total,n/a,49494.02545152649,19120.395429382996,53481.00139100315,83854.63141314665,4098.104309636448,2133.316727731206,32325.78240599132,34290.56998789656,0.0,0.0,0.0,0.0
