BalanceComponent,Generation,Storage_Discharge,Storage_Charge,Flexible_Demand_Defer,Flexible_Demand_Stasify,Demand_Response,Nonserved_Energy,Transmission_NetExport,Transmission_Losses,Demand
Zone,1,1,1,1,1,1,1,1,1,1
AnnualSum,1.2592879052525234e8,4.1731700970996164e7,-4.9304939710534215e7,0.0,0.0,0.0,0.0,0.0,0.0,-1.183555517857143e8
t1,12562.197534407438,7715.671830224324,-9115.869364631762,0.0,0.0,0.0,0.0,0.0,0.0,-11162.0
t2,11956.197534407436,7715.6718302243125,-9115.869364631748,0.0,0.0,0.0,0.0,0.0,0.0,-10556.0
t3,11505.197534407436,7715.6718302243125,-9115.869364631748,0.0,0.0,0.0,0.0,0.0,0.0,-10105.0
t4,11278.197534407438,7715.671830224318,-9115.869364631755,0.0,0.0,0.0,0.0,0.0,0.0,-9878.0
t5,11243.197534407436,7715.671830224318,-9115.869364631755,0.0,0.0,0.0,0.0,0.0,0.0,-9843.0
t6,11417.197534407436,7715.671830224318,-9115.869364631755,0.0,0.0,0.0,0.0,0.0,0.0,-10017.0
t7,588.323984962406,13316.608604946832,-3514.932589909238,0.0,0.0,0.0,0.0,0.0,0.0,-10390.0
t8,18119.72186889608,4719.409662979999,-12112.131531876073,0.0,0.0,0.0,0.0,0.0,0.0,-10727.0
t9,639.7386315789474,13744.901281638562,-3086.639913217509,0.0,0.0,0.0,0.0,0.0,0.0,-11298.0
t10,12007.92327930162,8341.308957777226,-8490.232237078846,0.0,0.0,0.0,0.0,0.0,0.0,-11859.0
t11,15879.802381481013,6573.869406687531,-10257.67178816854,0.0,0.0,0.0,0.0,0.0,0.0,-12196.0
t12,17831.776438599813,5660.382378128126,-11171.158816727946,0.0,0.0,0.0,0.0,0.0,0.0,-12321.0
t13,17105.837863608835,6053.351665623618,-10778.189529232455,0.0,0.0,0.0,0.0,0.0,0.0,-12381.0
t14,16444.207184914754,6328.66700497066,-10502.874189885413,0.0,0.0,0.0,0.0,0.0,0.0,-12270.0
t15,11320.484642549089,8830.02827615349,-8001.5129187025805,0.0,0.0,0.0,0.0,0.0,0.0,-12149.0
t16,9441.279092370964,9804.631051242552,-7026.91014361352,0.0,0.0,0.0,0.0,0.0,0.0,-12219.0
t17,759.3286466165413,14741.106274119766,-2090.434920736307,0.0,0.0,0.0,0.0,0.0,0.0,-13410.0
