Resource,Zone,AnnualSum,Capacity,CapacityFactor
natural_gas_combined_cycle,1,1.1173403440095495e8,21491.99031954849,0.593478154812799
solar_pv,1,850165.6710164833,500.0,0.19410175137363084
onshore_wind,1,4.601372317607911e6,1447.8779804476333,0.3627866571670187
battery,1,34015.46611229987,7131.0,0.0
