Resource,Zone,AnnualSum,Capacity,CapacityFactor
natural_gas_combined_cycle,1,8.369251375970697e7,18203.157535723287,0.5248506973670916
solar_pv,1,6.566557062103384e6,4059.5376871786507,0.18465328525641417
onshore_wind,1,2.923588030740203e7,9071.655544123863,0.36789638259553736
battery,1,845811.6575558773,1310.9707300180985,0.0
