Costs,TotalCosts_p1,TotalCosts_p2,TotalCosts_p3
cFix,3.1867108467599255e10,2.353434498245696e10,2.2447626671962185e10
cVar,1.783954806367696e10,6.578007817066319e9,2.7501487764068737e9
cNSE,0.0,0.0,0.0
cStart,4.744604466264548e8,8.568233616935928e8,2.3713426584655446e8
cUnmetRsv,1.8570332409231642e8,2.0217998248388506e7,5.636313314740883e7
cNetworkExp,0.0,0.0,0.0
cUnmetPolicyPenalty,0.0,0.0,0.0
