Resource,Zone,StartCap_p1,EndCap_p1,EndCap_p2,EndCap_p3
natural_gas_combined_cycle,1,10000.0,18224.436869005152,15707.861133464097,12105.022829081778
solar_pv,1,500.0,4048.6893023508674,12872.200005229177,22883.493234153542
onshore_wind,1,1000.0,9079.789893457597,17169.928637533154,26985.7629525732
battery,1,0.0,1288.2332361786264,3208.457426150007,30693.276186541993
Total,n/a,11500.0,32641.14930099224,48958.44720237644,92667.55520235052
