Resource,Zone,StartCap,RetCap,NewCap,EndCap,StartEnergyCap,RetEnergyCap,NewEnergyCap,EndEnergyCap,StartChargeCap,RetChargeCap,NewChargeCap,EndChargeCap
natural_gas_combined_cycle,1,15700.711535327135,5700.711535327134,2091.259678021755,12091.259678021754,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
solar_pv,1,12862.531997353872,3557.4132970736146,13420.184597593548,22725.303297873805,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
onshore_wind,1,17164.80853633681,8072.591367869295,17735.885363588535,26828.10253205605,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
battery,1,3270.4910343878546,1311.0060835196325,29488.226764408068,31447.711715276288,6097.354622245641,3088.6931523175735,28439.050245348222,31447.71171527629,0.0,0.0,0.0,0.0
Total,n/a,48998.54310340568,18641.722283789673,62735.5564036119,93092.3772232279,6097.354622245641,3088.6931523175735,28439.050245348222,31447.71171527629,0.0,0.0,0.0,0.0
