BalanceComponent,Generation,Storage_Discharge,Storage_Charge,Flexible_Demand_Defer,Flexible_Demand_Stasify,Demand_Response,Nonserved_Energy,Transmission_NetExport,Transmission_Losses,Demand
Zone,1,1,1,1,1,1,1,1,1,1
AnnualSum,1.1949506718135771e8,846451.1532313187,-1.0000604362373806e6,0.0,0.0,0.0,0.0,0.0,0.0,-1.1934145789835162e8
t1,11102.681214096468,59.31878590353129,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-11162.0
t2,10987.735837423224,0.0,-431.73583742322563,0.0,0.0,0.0,0.0,0.0,0.0,-10556.0
t3,11216.470684663063,0.0,-1111.4706846630647,0.0,0.0,0.0,0.0,0.0,0.0,-10105.0
t4,11139.160936700944,0.0,-1261.1609367009446,0.0,0.0,0.0,0.0,0.0,0.0,-9878.0
t5,9887.745514544224,0.0,-44.74551454421993,0.0,0.0,0.0,0.0,0.0,0.0,-9843.0
t6,10017.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-10017.0
t7,10390.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-10390.0
t8,10727.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-10727.0
t9,11298.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-11298.0
t10,11858.999999999998,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-11859.0
t11,12196.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-12196.0
t12,12321.000000000002,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-12321.0
t13,12381.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-12381.0
t14,12270.0,-1.021405182655144e-13,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-12270.0
t15,12149.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-12149.0
t16,12219.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-12219.0
t17,12098.993916480367,1311.006083519632,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-13410.0
t18,14539.000000000002,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-14539.0
t19,14454.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-14454.0
t20,14012.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-14012.0
t21,13494.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-13494.0
t22,12772.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-12772.0
t23,11877.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-11877.0
t24,10874.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-10874.0
t25,9177.624057337895,847.3759426621066,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-10025.0
t26,9101.114520682135,409.88547931786457,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-9511.0
t27,8990.669805367439,273.33019463256215,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-9264.0
t28,10519.006083519633,0.0,-1311.006083519632,0.0,0.0,0.0,0.0,0.0,0.0,-9208.0
t29,10721.006083519633,0.0,-1311.006083519632,0.0,0.0,0.0,0.0,0.0,0.0,-9410.0
t30,10707.158437136528,263.92382319155286,-1047.0822603280792,0.0,0.0,0.0,0.0,0.0,0.0,-9924.0
t31,10696.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-10696.0
t32,10017.993916480367,1311.006083519632,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-11329.0
t33,11940.380009895773,164.619990104228,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-12105.0
t34,11621.39749876816,1277.6025012318396,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-12899.0
t35,13700.582508074109,0.0,-218.5825080741086,0.0,0.0,0.0,0.0,0.0,0.0,-13482.0
t36,14506.022545090436,0.0,-785.0225450904364,0.0,0.0,0.0,0.0,0.0,0.0,-13721.0
t37,14576.928747579188,0.0,-877.9287475791886,0.0,0.0,0.0,0.0,0.0,0.0,-13699.0
t38,14400.097697804462,0.0,-789.0976978044613,0.0,0.0,0.0,0.0,0.0,0.0,-13611.0
t39,14150.23780066695,0.0,-582.2378006669506,0.0,0.0,0.0,0.0,0.0,0.0,-13568.0
t40,13774.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-13774.0
t41,15066.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-15066.0
t42,15062.993916480364,1311.006083519634,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-16373.999999999998
t43,16158.53305924093,71.46694075906979,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-16230.0
t44,14526.993916480367,1311.006083519632,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-15838.0
t45,15048.881407666204,148.11859233379508,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-15197.0
t46,14189.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-14189.0
t47,12940.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-12940.0
t48,12195.889272350889,0.0,-387.88927235088977,0.0,0.0,0.0,0.0,0.0,0.0,-11808.0
t49,12368.006083519633,0.0,-1311.006083519632,0.0,0.0,0.0,0.0,0.0,0.0,-11057.0
t50,10891.943065116326,0.0,-209.94306511632567,0.0,0.0,0.0,0.0,0.0,0.0,-10682.0
t51,10502.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-10502.0
t52,10524.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-10524.0
t53,10901.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-10901.0
t54,12021.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-12021.0
t55,13827.921150379962,175.07884962003885,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-14003.0
t56,13801.993916480369,1311.006083519632,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-15113.0
t57,15248.346864756399,52.65313524360238,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-15301.0
t58,15406.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-15406.0
t59,15807.561705205262,0.0,-263.56170520526234,0.0,0.0,0.0,0.0,0.0,0.0,-15544.0
t60,16238.932437665157,0.0,-668.9324376651555,0.0,0.0,0.0,0.0,0.0,0.0,-15570.0
t61,16487.958497810447,0.0,-980.9584978104464,0.0,0.0,0.0,0.0,0.0,0.0,-15507.0
t62,16212.3042899196,0.0,-727.3042899196014,0.0,0.0,0.0,0.0,0.0,0.0,-15485.0
t63,16051.659573407256,0.0,-625.6595734072565,0.0,0.0,0.0,0.0,0.0,0.0,-15426.0
t64,15639.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-15639.0
t65,16860.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-16860.0
t66,17370.08106705096,824.9189329490391,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-18195.0
t67,18195.697838963908,34.302161036091405,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-18230.0
t68,16695.805342051477,1228.1946579485207,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-17924.0
t69,17341.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-17341.0
t70,16318.000000000002,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-16318.000000000002
t71,14264.94906592949,687.0509340705103,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-14952.0
t72,13688.868985871995,67.13101412800526,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-13756.0
t73,13861.975395828644,0.0,-849.9753958286408,0.0,0.0,0.0,0.0,0.0,0.0,-13012.0
t74,13796.241483042497,0.0,-1175.2414830424982,0.0,0.0,0.0,0.0,0.0,0.0,-12621.0
t75,13066.153090260008,0.0,-644.1530902600068,0.0,0.0,0.0,0.0,0.0,0.0,-12422.0
t76,12953.582824899077,0.0,-509.58282489907526,0.0,0.0,0.0,0.0,0.0,0.0,-12444.0
t77,12962.322371532355,0.0,-178.32237153235343,0.0,0.0,0.0,0.0,0.0,0.0,-12784.0
