Resource,Zone,StartCap,RetCap,NewCap,EndCap,StartEnergyCap,RetEnergyCap,NewEnergyCap,EndEnergyCap,StartChargeCap,RetChargeCap,NewChargeCap,EndChargeCap
natural_gas_combined_cycle,1,10000.0,0.0,8202.954426791233,18202.954426791235,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
solar_pv,1,500.0,0.0,3557.4132970736136,4057.413297073614,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
onshore_wind,1,1000.0,0.0,8072.591367869293,9072.591367869294,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
battery,1,0.0,-0.0,1311.006083519632,1311.006083519632,0.0,-0.0,3088.6931523175726,3088.6931523175726,0.0,0.0,0.0,0.0
Total,n/a,11500.0,0.0,21143.965175253772,32643.965175253772,0.0,0.0,3088.6931523175726,3088.6931523175726,0.0,0.0,0.0,0.0
