Resource,Zone,AnnualSum,Capacity,CapacityFactor
natural_gas_combined_cycle,1,4.806563178221204e7,15707.861133464097,0.34931199230469673
solar_pv,1,1.926820257048811e7,12872.200005229177,0.17087727836631272
onshore_wind,1,5.154220995973182e7,17169.928637533154,0.34268132655379585
battery,1,4.7317402131880745e6,3208.457426150007,0.0
