Resource,natural_gas_combined_cycle,solar_pv,onshore_wind,battery,unmet,Total
t86,534.7320000000001,0.0,0.0,0.0,0.0,0.5347320000000001
t87,530.508,0.0,0.0,0.0,0.0,0.5305080000000001
t88,535.9860000000001,0.0,0.0,0.0,0.0,0.5359860000000001
t89,573.474,0.0,0.0,0.0,0.0,0.573474
t90,603.966,0.0,0.0,0.0,0.0,0.603966
t91,599.2800000000001,0.0,0.0,0.0,0.0,0.59928
t92,585.321,0.0,0.0,0.0,0.0,0.585321
t93,1993.643405175092,0.0,0.0,0.0,0.0,1.9936434051750922
t94,525.888,0.0,0.0,0.0,0.0,0.525888
t95,478.69800000000004,0.0,0.0,0.0,0.0,0.478698
t96,435.0060000000001,0.0,0.0,0.0,0.0,0.43500600000000006
t97,407.088,0.0,0.0,0.0,0.0,0.407088
t98,392.20500000000004,0.0,0.0,0.0,0.0,0.392205
t99,384.648,0.0,0.0,0.0,0.0,0.38464800000000005
t100,383.2950000000001,0.0,0.0,0.0,0.0,0.38329500000000005
t101,393.129,0.0,0.0,0.0,0.0,0.393129
t102,425.37,0.0,0.0,0.0,0.0,0.42537
t103,486.651,0.0,0.0,0.0,0.0,0.486651
t104,522.5550000000001,0.0,0.0,0.0,0.0,0.5225550000000001
t105,526.383,0.0,0.0,0.0,0.0,0.526383
t106,528.6930000000001,0.0,0.0,0.0,0.0,0.5286930000000001
t107,526.317,0.0,0.0,0.0,0.0,0.526317
t108,518.9580000000001,0.0,0.0,0.0,0.0,0.518958
t109,512.523,0.0,0.0,0.0,0.0,0.5125230000000001
t110,510.015,0.0,0.0,0.0,0.0,0.510015
t111,505.98900000000003,0.0,0.0,0.0,0.0,0.505989
t112,509.25600000000003,0.0,0.0,0.0,0.0,0.509256
t113,541.596,0.0,0.0,0.0,0.0,0.541596
t114,577.005,0.0,0.0,0.0,0.0,0.577005
t115,574.926,0.0,0.0,0.0,0.0,0.574926
t116,561.858,0.0,0.0,0.0,0.0,0.561858
t117,540.8700000000001,0.0,0.0,0.0,0.0,0.5408700000000001
t118,506.22,0.0,0.0,0.0,0.0,0.50622
t119,459.591,0.0,0.0,0.0,0.0,0.459591
t120,419.36400000000003,0.0,0.0,0.0,0.0,0.419364
t121,392.997,0.0,0.0,0.0,0.0,0.39299700000000004
t122,378.708,0.0,0.0,0.0,0.0,0.37870800000000004
t123,371.382,0.0,0.0,0.0,0.0,0.371382
t124,369.567,0.0,0.0,0.0,0.0,0.36956700000000003
t125,378.576,0.0,0.0,0.0,0.0,0.378576
t126,410.586,0.0,0.0,0.0,0.0,0.410586
t127,470.745,0.0,0.0,0.0,0.0,0.470745
t128,506.81399999999996,0.0,0.0,0.0,0.0,0.506814
t129,510.972,0.0,0.0,0.0,0.0,0.510972
t130,511.50000000000006,0.0,0.0,0.0,0.0,0.5115000000000001
t131,509.25600000000003,0.0,0.0,0.0,0.0,0.509256
t132,501.699,0.0,0.0,0.0,0.0,0.501699
t133,493.416,0.0,0.0,0.0,0.0,0.493416
t134,489.06000000000006,0.0,0.0,0.0,0.0,0.48906000000000005
t135,482.262,0.0,0.0,0.0,0.0,0.482262
t136,484.6050000000001,0.0,0.0,0.0,0.0,0.48460500000000006
t137,512.853,0.0,0.0,0.0,0.0,0.512853
t138,539.9459999999999,0.0,0.0,0.0,0.0,0.5399459999999999
t139,531.3000000000001,0.0,0.0,0.0,0.0,0.5313000000000001
t140,515.955,0.0,0.0,0.0,0.0,0.515955
t141,495.56100000000004,0.0,0.0,0.0,0.0,0.49556100000000003
t142,468.99600000000004,0.0,0.0,0.0,0.0,0.468996
t143,432.828,0.0,0.0,0.0,0.0,0.432828
t144,395.67,0.0,0.0,0.0,0.0,0.39567
t145,366.927,0.0,0.0,0.0,0.0,0.366927
t146,350.98799999999994,0.0,0.0,0.0,0.0,0.35098799999999997
t147,342.30899999999997,0.0,0.0,0.0,0.0,0.342309
t148,338.84400000000005,0.0,0.0,0.0,0.0,0.33884400000000003
t149,342.21000000000004,0.0,0.0,0.0,0.0,0.34221
t150,355.245,0.0,0.0,0.0,0.0,0.35524500000000003
t151,378.774,0.0,0.0,0.0,0.0,0.378774
t152,403.59000000000003,0.0,0.0,0.0,0.0,0.40359000000000006
t153,429.033,0.0,0.0,0.0,0.0,0.429033
t154,444.378,0.0,0.0,0.0,0.0,0.444378
t155,448.701,0.0,0.0,0.0,0.0,0.448701
t156,445.104,0.0,0.0,0.0,0.0,0.445104
t157,436.92,0.0,0.0,0.0,0.0,0.43692000000000003
t158,427.68000000000006,0.0,0.0,0.0,0.0,0.42768000000000006
