Iteration_Number,Seconds,Upper_Bound,Lower_Bound,Relative_Gap
1,72.10311508178711,77212.03130800984,74242.42447548055,0.03999878578197612
2,80.4650809764862,77212.03130800984,75442.51135853297,0.023455210034928568
3,81.99176216125488,76948.08701373034,76861.34924884849,0.0011284965165134738
