Costs,TotalCosts_p1,TotalCosts_p2,TotalCosts_p3
cFix,3.169416073575129e10,2.387699049520894e10,2.371205640493663e10
cVar,2.0571614329498325e10,1.0039307559193302e10,8.393865948530986e9
cNSE,0.0,0.0,0.0
cStart,5.684182733039697e8,9.889625848096367e8,2.369651060376067e8
cUnmetRsv,1.7640611440350965e8,7.905868865290691e6,5.644085670009374e7
cNetworkExp,0.0,0.0,0.0
cUnmetPolicyPenalty,0.0,0.0,0.0
