Costs,TotalCosts_p1,TotalCosts_p2,TotalCosts_p3
cFix,3.1676666711300518e10,2.4579163845602055e10,2.9183337150671448e10
cVar,4.712774389030201e10,4.384510657738529e10,4.3374824443738434e10
cNSE,3.3872664641521886e7,0.0,0.0
cStart,7.893995974573902e8,1.429768962771525e9,2.8107656943059707e8
cUnmetRsv,9.835302763493365e7,1.1208893850546107e7,6.149190515645375e7
cNetworkExp,0.0,0.0,0.0
cUnmetPolicyPenalty,0.0,0.0,0.0
