Period_Index,Rep_Period,Rep_Period_Index
1,1,1
2,1,1
3,1,1
4,1,1
5,8,2
6,8,2
7,8,2
8,8,2
9,8,2
10,8,2
11,8,2
12,15,3
13,15,3
14,15,3
15,15,3
16,15,3
17,15,3
18,24,5
19,22,4
20,24,5
21,24,5
22,22,4
23,24,5
24,24,5
25,28,6
26,28,6
27,28,6
28,28,6
29,29,7
30,28,6
31,28,6
32,28,6
33,28,6
34,28,6
35,22,4
36,28,6
37,22,4
38,24,5
39,24,5
40,43,8
41,22,4
42,43,8
43,43,8
44,43,8
45,24,5
46,24,5
47,24,5
48,48,9
49,49,10
50,49,10
51,51,11
52,8,2
