Costs,TotalCosts_p1,TotalCosts_p2,TotalCosts_p3
cFix,3.188411453650521e10,2.3518817682315598e10,2.24503348711613e10
cVar,1.7557533326914658e10,6.185039144099264e9,2.0447046418377972e9
cNSE,0.0,0.0,0.0
cStart,4.681089202894977e8,8.49733541537792e8,2.0406472518171972e8
cUnmetRsv,1.8831441825142613e8,2.0217827803150915e7,5.2419453679829545e7
cNetworkExp,0.0,0.0,0.0
cUnmetPolicyPenalty,0.0,0.0,0.0
