Resource,Zone,StartCap_p1,EndCap_p1,EndCap_p2,EndCap_p3
natural_gas_combined_cycle,1,10000.0,21491.99031954849,21491.99031954849,20480.992376166665
solar_pv,1,500.0,500.0,500.0,500.0
onshore_wind,1,1000.0,1447.8779804476333,1447.8779804476333,1000.0
battery,1,0.0,7131.0,14262.0,21393.0
Total,n/a,11500.0,30570.868299996124,37701.868299996124,43373.992376166665
