Resource,Zone,StartCap,RetCap,NewCap,EndCap,StartEnergyCap,RetEnergyCap,NewEnergyCap,EndEnergyCap,StartChargeCap,RetChargeCap,NewChargeCap,EndChargeCap
natural_gas_combined_cycle,1,21491.990319548517,11491.990319548517,10480.992376166665,20480.992376166665,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
solar_pv,1,500.0,0.0,0.0,500.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
onshore_wind,1,1447.8779804475896,447.8779804475897,0.0,1000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
battery,1,14262.0,7131.0,14262.0,21393.0,14262.0,7131.0,14262.0,21393.0,0.0,0.0,0.0,0.0
Total,n/a,37701.8682999961,19070.868299996106,24742.992376166665,43373.992376166665,14262.0,7131.0,14262.0,21393.0,0.0,0.0,0.0,0.0
