Voll,Demand_Segment,Cost_of_Demand_Curtailment_per_MW,Max_Demand_Curtailment,Rep_Periods,Timesteps_per_Rep_Period,Sub_Weights,Time_Index,Load_MW_z1
,,,,,,,304,13635.0
,,,,,,,305,13873.0
,,,,,,,306,14820.0
,,,,,,,307,15260.0
,,,,,,,308,14881.0
,,,,,,,309,14378.0
,,,,,,,310,13662.0
,,,,,,,311,12659.0
,,,,,,,312,11616.0
,,,,,,,313,10844.0
,,,,,,,314,10407.0
,,,,,,,315,10202.0
,,,,,,,316,10116.0
,,,,,,,317,10221.0
,,,,,,,318,10654.0
,,,,,,,319,11334.0
,,,,,,,320,12068.0
,,,,,,,321,12874.0
,,,,,,,322,13335.0
,,,,,,,323,13473.0
,,,,,,,324,13362.0
,,,,,,,325,13100.0
,,,,,,,326,12779.0
,,,,,,,327,12578.0
,,,,,,,328,12591.0
,,,,,,,329,13018.0
,,,,,,,330,14075.0
,,,,,,,331,14508.0
,,,,,,,332,14127.0
,,,,,,,333,13686.0
,,,,,,,334,13054.0
,,,,,,,335,12202.0
,,,,,,,336,11334.0
,,,,,,,337,9225.0
,,,,,,,338,8844.0
,,,,,,,339,8669.0
,,,,,,,340,8667.0
,,,,,,,341,8965.0
,,,,,,,342,9966.0
,,,,,,,343,11832.0
,,,,,,,344,12921.0
,,,,,,,345,13228.0
,,,,,,,346,13403.0
,,,,,,,347,13623.0
,,,,,,,348,13736.0
,,,,,,,349,13742.0
,,,,,,,350,13793.0
,,,,,,,351,13686.0
,,,,,,,352,13527.0
,,,,,,,353,13423.0
,,,,,,,354,13420.0
,,,,,,,355,13523.0
,,,,,,,356,14267.0
,,,,,,,357,13940.0
,,,,,,,358,12872.0
,,,,,,,359,11495.0
,,,,,,,360,10269.0
,,,,,,,361,9466.0
,,,,,,,362,9050.0
,,,,,,,363,8857.0
,,,,,,,364,8798.0
,,,,,,,365,9076.0
,,,,,,,366,10007.0
,,,,,,,367,11825.0
,,,,,,,368,12880.0
,,,,,,,369,13139.0
,,,,,,,370,13273.0
,,,,,,,371,13463.0
,,,,,,,372,13582.0
,,,,,,,373,13637.0
,,,,,,,374,13744.0
,,,,,,,375,13707.0
,,,,,,,376,13642.0
,,,,,,,377,13633.0
,,,,,,,378,13667.0
,,,,,,,379,13685.0
,,,,,,,380,14409.0
,,,,,,,381,14170.0
,,,,,,,382,13140.0
,,,,,,,383,11716.0
,,,,,,,384,10483.0
,,,,,,,385,9639.0
,,,,,,,386,9192.0
,,,,,,,387,8934.0
,,,,,,,388,8868.0
,,,,,,,389,9100.0
,,,,,,,390,9982.0
,,,,,,,391,11785.0
,,,,,,,392,12848.0
,,,,,,,393,13267.0
,,,,,,,394,13525.0
,,,,,,,395,13806.0
,,,,,,,396,13981.0
,,,,,,,397,14027.0
,,,,,,,398,14108.0
,,,,,,,399,14065.0
,,,,,,,400,13995.0
,,,,,,,401,13959.0
,,,,,,,402,13956.0
,,,,,,,403,13904.0
,,,,,,,404,14567.0
,,,,,,,405,14319.0
,,,,,,,406,13309.0
,,,,,,,407,11918.0
,,,,,,,408,10628.0
,,,,,,,409,9846.0
,,,,,,,410,9328.0
,,,,,,,411,9070.0
,,,,,,,412,8979.0
,,,,,,,413,9179.0
,,,,,,,414,10041.0
,,,,,,,415,11825.0
,,,,,,,416,12893.0
,,,,,,,417,13321.0
,,,,,,,418,13652.0
,,,,,,,419,13989.0
,,,,,,,420,14172.0
,,,,,,,421,14220.0
,,,,,,,422,14382.0
,,,,,,,423,14378.0
,,,,,,,424,14356.0
,,,,,,,425,14332.0
,,,,,,,426,14274.0
,,,,,,,427,14125.0
,,,,,,,428,14736.0
,,,,,,,429,14531.0
