Region,Resource,Zone,Cluster,CapRes_1,AnnualSum
NE,natural_gas_combined_cycle,1,1,1.1562246046217752e9,1.1562246046217752e9
NE,solar_pv,1,1,7.14216469658453e7,7.14216469658453e7
NE,onshore_wind,1,1,9.729852211984245e6,9.729852211984245e6
NE,battery,1,0,1.8905688722384748e8,1.8905688722384748e8
