BalanceComponent,Generation,Storage_Discharge,Storage_Charge,Flexible_Demand_Defer,Flexible_Demand_Stasify,Demand_Response,Nonserved_Energy,Transmission_NetExport,Transmission_Losses,Demand
t54,5262.360797692794,7665.50706344579,-906.8678611385836,0.0,0.0,0.0,0.0,0.0,0.0,-12021.0
t55,16274.392141570519,3150.491391506927,-5421.883533077446,0.0,0.0,0.0,0.0,0.0,0.0,-14003.0
t56,10448.61536797901,6618.379778302682,-1953.9951462816916,0.0,0.0,0.0,0.0,0.0,0.0,-15113.0
t57,18564.851339217363,2654.2617926835046,-5918.113131900869,0.0,0.0,0.0,0.0,0.0,0.0,-15301.0
t58,13960.193014902583,5009.090954840895,-3563.283969743478,0.0,0.0,0.0,0.0,0.0,0.0,-15406.0
t59,19989.300173114778,2063.5373757347984,-6508.837548849575,0.0,0.0,0.0,0.0,0.0,0.0,-15544.0
t60,18443.430363227308,2849.4722806785335,-5722.90264390584,0.0,0.0,0.0,0.0,0.0,0.0,-15570.0
t61,24079.374924584372,0.0,-8572.374924584374,0.0,0.0,0.0,0.0,0.0,0.0,-15507.0
t62,24057.374924584372,0.0,-8572.374924584374,0.0,0.0,0.0,0.0,0.0,0.0,-15485.0
t63,23998.374924584376,0.0,-8572.374924584374,0.0,0.0,0.0,0.0,0.0,0.0,-15426.0
t64,11033.957310658614,6588.708806962879,-1983.6661176214943,0.0,0.0,0.0,0.0,0.0,0.0,-15639.0
t65,15804.250639472088,4814.062142556144,-3758.31278202823,0.0,0.0,0.0,0.0,0.0,0.0,-16860.0
t66,25995.171580441478,386.1016720714474,-8186.273252512926,0.0,0.0,0.0,0.0,0.0,0.0,-18195.0
t67,9657.625075415626,8572.374924584374,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-18230.0
t68,12204.131116178538,7146.121904202919,-1426.253020381455,0.0,0.0,0.0,0.0,0.0,0.0,-17924.0
t69,25913.374924584376,0.0,-8572.374924584374,0.0,0.0,0.0,0.0,0.0,0.0,-17341.0
t70,24890.374924584376,0.0,-8572.374924584374,0.0,0.0,0.0,0.0,0.0,0.0,-16318.000000000002
t71,6379.625075415626,8572.374924584374,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-14952.0
t72,5183.625075415627,8572.374924584374,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-13756.0
t73,21584.374924584376,0.0,-8572.374924584374,0.0,0.0,0.0,0.0,0.0,0.0,-13012.0
t74,21193.374924584376,0.0,-8572.374924584374,0.0,0.0,0.0,0.0,0.0,0.0,-12621.0
t75,15987.632550953638,2503.3711868153687,-6069.003737769006,0.0,0.0,0.0,0.0,0.0,0.0,-12422.0
t76,11305.774417353638,4855.300253615368,-3717.074670969005,0.0,0.0,0.0,0.0,0.0,0.0,-12444.0
t77,4211.625075415627,8572.374924584374,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-12784.0
t78,5267.625075415626,8572.374924584374,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-13840.0
t79,7188.625075415625,8572.374924584374,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-15761.0
t80,19786.214569844262,2796.580177370055,-5775.794747214319,0.0,0.0,0.0,0.0,0.0,0.0,-16807.0
t81,24041.517113926555,679.4289053289084,-7892.946019255465,0.0,0.0,0.0,0.0,0.0,0.0,-16828.0
t82,20991.686981619394,2181.843971482491,-6390.530953101883,0.0,0.0,0.0,0.0,0.0,0.0,-16783.0
t83,25317.374924584376,0.0,-8572.374924584374,0.0,0.0,0.0,0.0,0.0,0.0,-16745.0
