Voll,Demand_Segment,Cost_of_Demand_Curtailment_per_MW,Max_Demand_Curtailment,Rep_Periods,Timesteps_per_Rep_Period,Sub_Weights,Time_Index,Load_MW_z1
,,,,,,,338,8844.0
,,,,,,,339,8669.0
,,,,,,,340,8667.0
,,,,,,,341,8965.0
,,,,,,,342,9966.0
,,,,,,,343,11832.0
,,,,,,,344,12921.0
,,,,,,,345,13228.0
,,,,,,,346,13403.0
,,,,,,,347,13623.0
,,,,,,,348,13736.0
,,,,,,,349,13742.0
,,,,,,,350,13793.0
,,,,,,,351,13686.0
,,,,,,,352,13527.0
,,,,,,,353,13423.0
,,,,,,,354,13420.0
,,,,,,,355,13523.0
,,,,,,,356,14267.0
,,,,,,,357,13940.0
,,,,,,,358,12872.0
,,,,,,,359,11495.0
,,,,,,,360,10269.0
,,,,,,,361,9466.0
,,,,,,,362,9050.0
,,,,,,,363,8857.0
,,,,,,,364,8798.0
,,,,,,,365,9076.0
,,,,,,,366,10007.0
,,,,,,,367,11825.0
,,,,,,,368,12880.0
,,,,,,,369,13139.0
,,,,,,,370,13273.0
,,,,,,,371,13463.0
,,,,,,,372,13582.0
,,,,,,,373,13637.0
,,,,,,,374,13744.0
,,,,,,,375,13707.0
,,,,,,,376,13642.0
,,,,,,,377,13633.0
,,,,,,,378,13667.0
,,,,,,,379,13685.0
,,,,,,,380,14409.0
,,,,,,,381,14170.0
,,,,,,,382,13140.0
,,,,,,,383,11716.0
,,,,,,,384,10483.0
,,,,,,,385,9639.0
,,,,,,,386,9192.0
,,,,,,,387,8934.0
,,,,,,,388,8868.0
,,,,,,,389,9100.0
,,,,,,,390,9982.0
,,,,,,,391,11785.0
,,,,,,,392,12848.0
,,,,,,,393,13267.0
,,,,,,,394,13525.0
,,,,,,,395,13806.0
,,,,,,,396,13981.0
,,,,,,,397,14027.0
,,,,,,,398,14108.0
,,,,,,,399,14065.0
,,,,,,,400,13995.0
,,,,,,,401,13959.0
,,,,,,,402,13956.0
,,,,,,,403,13904.0
,,,,,,,404,14567.0
,,,,,,,405,14319.0
,,,,,,,406,13309.0
,,,,,,,407,11918.0
,,,,,,,408,10628.0
,,,,,,,409,9846.0
,,,,,,,410,9328.0
,,,,,,,411,9070.0
,,,,,,,412,8979.0
,,,,,,,413,9179.0
,,,,,,,414,10041.0
,,,,,,,415,11825.0
,,,,,,,416,12893.0
,,,,,,,417,13321.0
,,,,,,,418,13652.0
,,,,,,,419,13989.0
,,,,,,,420,14172.0
,,,,,,,421,14220.0
,,,,,,,422,14382.0
,,,,,,,423,14378.0
,,,,,,,424,14356.0
,,,,,,,425,14332.0
,,,,,,,426,14274.0
,,,,,,,427,14125.0
,,,,,,,428,14736.0
,,,,,,,429,14531.0
,,,,,,,430,13541.0
,,,,,,,431,12105.0
,,,,,,,432,10834.0
,,,,,,,433,10013.0
,,,,,,,434,9503.0
,,,,,,,435,9187.0
,,,,,,,436,9086.0
,,,,,,,437,9279.0
,,,,,,,438,10090.0
,,,,,,,439,11776.0
,,,,,,,440,12853.0
,,,,,,,441,13274.0
,,,,,,,442,13551.0
,,,,,,,443,13791.0
,,,,,,,444,13857.0
,,,,,,,445,13748.0
,,,,,,,446,13781.0
,,,,,,,447,13655.0
,,,,,,,448,13491.0
,,,,,,,449,13401.0
,,,,,,,450,13254.0
,,,,,,,451,12993.0
,,,,,,,452,13536.0
,,,,,,,453,13286.0
,,,,,,,454,12517.0
,,,,,,,455,11478.0
,,,,,,,456,10381.0
,,,,,,,457,9549.0
,,,,,,,458,9030.0
,,,,,,,459,8735.0
,,,,,,,460,8579.0
,,,,,,,461,8592.0
,,,,,,,462,8880.0
,,,,,,,463,9470.0
,,,,,,,464,10176.0
,,,,,,,465,11146.0
,,,,,,,466,11838.0
,,,,,,,467,12142.0
,,,,,,,468,12199.0
,,,,,,,469,12062.0
,,,,,,,470,11820.0
,,,,,,,471,11624.0
,,,,,,,472,11531.0
,,,,,,,473,11611.0
,,,,,,,474,11905.0
,,,,,,,475,12204.0
,,,,,,,476,12690.0
,,,,,,,477,12458.0
,,,,,,,478,11820.0
,,,,,,,479,10962.0
,,,,,,,480,10076.0
,,,,,,,481,9344.0
,,,,,,,482,8859.0
,,,,,,,483,8615.0
,,,,,,,484,8495.0
,,,,,,,485,8517.0
,,,,,,,486,8710.0
,,,,,,,487,9166.0
,,,,,,,488,9784.0
,,,,,,,489,10760.0
,,,,,,,490,11602.0
,,,,,,,491,12129.0
,,,,,,,492,12438.0
,,,,,,,493,12543.0
,,,,,,,494,12419.0
,,,,,,,495,12279.0
,,,,,,,496,12184.0
,,,,,,,497,12357.0
