Resource,Zone,StartCap,RetCap,NewCap,EndCap,StartEnergyCap,RetEnergyCap,NewEnergyCap,EndEnergyCap,StartChargeCap,RetChargeCap,NewChargeCap,EndChargeCap
natural_gas_combined_cycle,1,18202.954426791235,2502.242891464091,0.0,15700.711535327142,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
solar_pv,1,4057.413297073614,0.0,8805.118700280207,12862.53199735382,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
onshore_wind,1,9072.591367869296,0.0,8092.217168467517,17164.808536336815,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
battery,1,1311.0060835196325,0.0,1959.4849508682212,3270.4910343878537,3088.6931523175735,0.0,3008.6614699280167,6097.35462224559,0.0,0.0,0.0,0.0
Total,n/a,32643.965175253776,2502.242891464091,18856.820819615943,48998.54310340563,3088.6931523175735,0.0,3008.6614699280167,6097.35462224559,0.0,0.0,0.0,0.0
