Costs,TotalCosts_p1,TotalCosts_p2,TotalCosts_p3
cFix,1.8623888446924164e10,5.314786395188467e9,6.14632820131812e9
cVar,2.388037740806522e10,1.5395799079985687e10,1.036205316634353e10
cNSE,0.0,0.0,0.0
cStart,0.0,0.0,0.0
cUnmetRsv,9.024614005879872e7,4.447072804528955e6,3.1428576371471394e7
cNetworkExp,0.0,0.0,0.0
cUnmetPolicyPenalty,0.0,0.0,0.0
