BalanceComponent,Generation,Storage_Discharge,Storage_Charge,Flexible_Demand_Defer,Flexible_Demand_Stasify,Demand_Response,Nonserved_Energy,Transmission_NetExport,Transmission_Losses,Demand
Zone,1,1,1,1,1,1,1,1,1,1
AnnualSum,1.3010270423303413e8,6.4731704631585374e7,-7.647885707890518e7,0.0,0.0,0.0,0.0,0.0,0.0,-1.183555517857143e8
t1,13778.100801270877,14415.80545700306,-17031.906258273935,0.0,0.0,0.0,0.0,0.0,0.0,-11162.0
t2,13172.100801270873,14415.805457003047,-17031.90625827392,0.0,0.0,0.0,0.0,0.0,0.0,-10556.0
t3,12721.100801270875,14415.80545700306,-17031.906258273935,0.0,0.0,0.0,0.0,0.0,0.0,-10105.0
t4,12494.100801270873,14415.80545700304,-17031.906258273913,0.0,0.0,0.0,0.0,0.0,0.0,-9878.0
t5,12459.100801270875,14415.80545700306,-17031.906258273935,0.0,0.0,0.0,0.0,0.0,0.0,-9843.0
t6,6547.205661428354,17458.753026924318,-13988.958688352672,0.0,0.0,0.0,0.0,0.0,0.0,-10017.0
t7,15536.346649042076,13150.682533117457,-18297.02918215953,0.0,0.0,0.0,0.0,0.0,0.0,-10390.0
t8,16898.750093342198,12637.9808109674,-18809.73090430959,0.0,0.0,0.0,0.0,0.0,0.0,-10727.0
t9,13914.100801270875,14415.805457003056,-17031.90625827393,0.0,0.0,0.0,0.0,0.0,0.0,-11298.0
t10,10621.08656180512,16342.812576735934,-15104.899138541052,0.0,0.0,0.0,0.0,0.0,0.0,-11859.0
t11,13821.125885203233,14911.292915036878,-16536.41880024011,0.0,0.0,0.0,0.0,0.0,0.0,-12196.0
t12,15490.531629330411,14139.09004297329,-17308.621672303696,0.0,0.0,0.0,0.0,0.0,0.0,-12321.0
t13,14928.351245404896,14450.18023493605,-16997.53148034094,0.0,0.0,0.0,0.0,0.0,0.0,-12381.0
t14,14445.94523029881,14635.88324248909,-16811.828472787896,0.0,0.0,0.0,0.0,0.0,0.0,-12270.0
t15,14788.950132740261,14403.880791268364,-17043.830924008624,0.0,0.0,0.0,0.0,0.0,0.0,-12149.0
t16,13630.206057464768,15018.25282890611,-16429.458886370878,0.0,0.0,0.0,0.0,0.0,0.0,-12219.0
t17,6026.087643739916,19415.812035768537,-12031.899679508453,0.0,0.0,0.0,0.0,0.0,0.0,-13410.0
t18,16035.39664185152,14177.75364533226,-15674.150287183778,0.0,0.0,0.0,0.0,0.0,0.0,-14539.0
t19,26198.497046351258,9851.607334462866,-21596.104380814122,0.0,0.0,0.0,0.0,0.0,0.0,-14454.0
t20,14236.648979164727,15611.53136805613,-15836.180347220858,0.0,0.0,0.0,0.0,0.0,0.0,-14012.0
t21,26341.629054837453,9300.041330219767,-22147.670385057223,0.0,0.0,0.0,0.0,0.0,0.0,-13494.0
t22,15388.100801270872,14415.805457003047,-17031.90625827392,0.0,0.0,0.0,0.0,0.0,0.0,-12772.0
t23,14493.100801270873,14415.805457003047,-17031.90625827392,0.0,0.0,0.0,0.0,0.0,0.0,-11877.0
t24,11413.044449063354,15454.333633106817,-15993.378082170171,0.0,0.0,0.0,0.0,0.0,0.0,-10874.0
t25,14718.1571534784,13377.277280899296,-18070.43443437769,0.0,0.0,0.0,0.0,0.0,0.0,-10025.0
t26,12127.100801270872,14415.805457003047,-17031.90625827392,0.0,0.0,0.0,0.0,0.0,0.0,-9511.0
t27,524.5652932330827,20093.57321102195,-11354.138504255036,0.0,0.0,0.0,0.0,0.0,0.0,-9264.0
t28,23179.636309308662,8738.037702984162,-22709.674012292828,0.0,0.0,0.0,0.0,0.0,0.0,-9208.0
t29,12026.100801270873,14415.80545700304,-17031.906258273913,0.0,0.0,0.0,0.0,0.0,0.0,-9410.0
t30,9508.46596553442,15931.622874871284,-15516.088840405704,0.0,0.0,0.0,0.0,0.0,0.0,-9924.0
t31,16343.73563700733,12899.988039134829,-18547.72367614216,0.0,0.0,0.0,0.0,0.0,0.0,-10696.0
t32,13679.088345542938,14548.811684867025,-16898.90003040996,0.0,0.0,0.0,0.0,0.0,0.0,-11329.0
t33,685.4342481203008,21433.63873357834,-10014.07298169864,0.0,0.0,0.0,0.0,0.0,0.0,-12105.0
t34,20219.404300016267,12063.653707630358,-19384.05800764663,0.0,0.0,0.0,0.0,0.0,0.0,-12899.0
t35,25695.476311404,9617.117701936493,-21830.594013340495,0.0,0.0,0.0,0.0,0.0,0.0,-13482.0
t36,16337.100801270875,14415.805457003056,-17031.90625827393,0.0,0.0,0.0,0.0,0.0,0.0,-13721.0
t37,16315.100801270873,14415.805457003056,-17031.90625827393,0.0,0.0,0.0,0.0,0.0,0.0,-13699.0
t38,16227.100801270879,14415.805457003056,-17031.90625827393,0.0,0.0,0.0,0.0,0.0,0.0,-13611.0
t39,16184.100801270873,14415.80545700306,-17031.906258273935,0.0,0.0,0.0,0.0,0.0,0.0,-13568.0
t40,16390.100801270877,14415.80545700306,-17031.906258273935,0.0,0.0,0.0,0.0,0.0,0.0,-13774.0
t41,17682.100801270873,14415.805457003047,-17031.90625827392,0.0,0.0,0.0,0.0,0.0,0.0,-15066.0
t42,18990.100801270873,14415.80545700306,-17031.906258273935,0.0,0.0,0.0,0.0,0.0,0.0,-16373.999999999998
t43,18846.100801270873,14415.805457003047,-17031.90625827392,0.0,0.0,0.0,0.0,0.0,0.0,-16230.0
t44,896.8118646616541,23194.449925307665,-8253.26178996932,0.0,0.0,0.0,0.0,0.0,0.0,-15838.0
t45,23001.920990917104,11821.395362179941,-19626.316353097045,0.0,0.0,0.0,0.0,0.0,0.0,-15197.0
t46,25514.21292816758,10061.249393554703,-21386.462321722283,0.0,0.0,0.0,0.0,0.0,0.0,-14189.0
t47,19215.457421337152,12586.127146969919,-18861.58456830707,0.0,0.0,0.0,0.0,0.0,0.0,-12940.0
t48,4971.105851590416,19142.302931843285,-12305.408783433702,0.0,0.0,0.0,0.0,0.0,0.0,-11808.0
t49,23126.095750951336,9689.30798216283,-21758.40373311416,0.0,0.0,0.0,0.0,0.0,0.0,-11057.0
t50,13298.100801270873,14415.80545700306,-17031.906258273935,0.0,0.0,0.0,0.0,0.0,0.0,-10682.0
t51,595.6916090225563,20677.010053127215,-10770.701662149771,0.0,0.0,0.0,0.0,0.0,0.0,-10502.0
t52,16585.102938552696,12693.304388362143,-18754.407326914843,0.0,0.0,0.0,0.0,0.0,0.0,-10524.0
t53,17300.094126880413,12524.308794198287,-18923.4029210787,0.0,0.0,0.0,0.0,0.0,0.0,-10901.0
