Resource,natural_gas_combined_cycle,solar_pv,onshore_wind,battery,unmet,Total
t223,470.349,0.0,0.0,0.0,0.0,0.470349
t224,500.181,0.0,0.0,0.0,0.0,0.500181
t225,502.12800000000004,0.0,0.0,0.0,0.0,0.502128
t226,500.544,0.0,0.0,0.0,0.0,0.500544
t227,499.653,0.0,0.0,0.0,0.0,0.499653
t228,495.33,0.0,0.0,0.0,0.0,0.49533
t229,4018.3651587604354,0.0,0.0,0.0,0.0,4.018365158760435
t230,485.232,0.0,0.0,0.0,0.0,0.48523200000000005
t231,479.78700000000003,0.0,0.0,0.0,0.0,0.479787
t232,477.147,0.0,0.0,0.0,0.0,0.477147
t233,487.17900000000003,0.0,0.0,0.0,0.0,0.48717900000000003
t234,3071.265590211633,0.0,0.0,0.0,0.0,3.071265590211633
t235,2820.689541346949,0.0,0.0,0.0,0.0,2.8206895413469493
t236,525.393,0.0,0.0,0.0,0.0,0.525393
t237,504.966,0.0,0.0,0.0,0.0,0.504966
t238,471.86699999999996,0.0,0.0,0.0,0.0,0.471867
t239,428.604,0.0,0.0,0.0,0.0,0.428604
t240,390.291,0.0,0.0,0.0,0.0,0.390291
t241,364.254,0.0,0.0,0.0,0.0,0.364254
t242,350.32800000000003,0.0,0.0,0.0,0.0,0.35032800000000003
t243,343.563,0.0,0.0,0.0,0.0,0.343563
t244,342.87,0.0,0.0,0.0,0.0,0.34287
t245,352.374,0.0,0.0,0.0,0.0,0.352374
t246,387.22200000000004,0.0,0.0,0.0,0.0,0.387222
t247,449.55899999999997,0.0,0.0,0.0,0.0,0.449559
t248,482.889,0.0,0.0,0.0,0.0,0.482889
t249,489.4560000000001,0.0,0.0,0.0,0.0,0.48945600000000006
t250,491.07300000000004,0.0,0.0,0.0,0.0,0.49107300000000004
t251,492.45900000000006,0.0,0.0,0.0,0.0,0.49245900000000004
t252,3964.190999943476,0.0,0.0,0.0,0.0,3.964190999943476
t253,484.473,0.0,0.0,0.0,0.0,0.484473
t254,481.70099999999996,0.0,0.0,0.0,0.0,0.481701
t255,476.223,0.0,0.0,0.0,0.0,0.476223
t256,474.37500000000006,0.0,0.0,0.0,0.0,0.47437500000000005
t257,486.12300000000005,0.0,0.0,0.0,0.0,0.486123
t258,2855.807004539564,0.0,0.0,0.0,0.0,2.855807004539564
t259,2633.227345978957,0.0,0.0,0.0,0.0,2.6332273459789572
t260,520.3109999999999,0.0,0.0,0.0,0.0,0.520311
t261,499.05899999999997,0.0,0.0,0.0,0.0,0.499059
t262,465.795,0.0,0.0,0.0,0.0,0.465795
t263,422.004,0.0,0.0,0.0,0.0,0.42200400000000005
t264,382.041,0.0,0.0,0.0,0.0,0.382041
t265,357.819,0.0,0.0,0.0,0.0,0.357819
t266,344.949,0.0,0.0,0.0,0.0,0.344949
t267,340.032,0.0,0.0,0.0,0.0,0.340032
t268,342.37500000000006,0.0,0.0,0.0,0.0,0.34237500000000004
