Resource,Zone,StartCap_p1,EndCap_p1,EndCap_p2,EndCap_p3
natural_gas_combined_cycle,1,10000.0,22227.117129613547,22227.117129613544,23193.424712000004
solar_pv,1,500.0,500.0,500.0,500.0
onshore_wind,1,1000.0,2075.215527486064,2075.215527486064,1000.0
battery,1,0.0,611.4807725763426,611.4807725763426,0.0
Total,n/a,11500.0,25413.813429675953,25413.81342967595,24693.424712000004
