Costs,TotalCosts_p1,TotalCosts_p2,TotalCosts_p3
cFix,1.619736338033503e10,1.8121187045328193e9,3.9146960519769707e9
cVar,2.3420069561498528e10,1.5091667522767054e10,1.036081318328336e10
cNSE,0.0,0.0,3.245749916444719e6
cStart,3.470723175109967e6,2.234894729116516e6,972222.5333331367
cUnmetRsv,3.783771028265912e7,2.4364749075637307e7,1.3412224311807722e7
cNetworkExp,0.0,0.0,0.0
cUnmetPolicyPenalty,0.0,0.0,0.0
