Costs,TotalCosts_p1,TotalCosts_p2,TotalCosts_p3
cFix,1.8451064973714252e10,5.288521951888306e9,6.14632820131812e9
cVar,2.4015529379728306e10,1.5485407782966002e10,1.03744729166173e10
cNSE,0.0,0.0,0.0
cStart,0.0,0.0,0.0
cUnmetRsv,8.638241547828685e7,4.16266363386346e6,3.1428576371471386e7
cNetworkExp,0.0,0.0,0.0
cUnmetPolicyPenalty,0.0,0.0,0.0
